CITE_KEY,CITE_NAME,CITE_LABEL,CITE_REF
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,journals/ai/Clancey85a,,
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,journals/jacm/Summers77,,
journals/tkde/GomezW89,journals/toplas/MannaW80,,
journals/tkde/GomezW89,journals/tse/Balzer85,,
journals/tkde/GomezW89,journals/tse/RichS78,,
journals/tkde/GomezW89,journals/tse/Waters85,,
journals/tkde/GomezW89,...,,
journals/tkde/GomezW89,conf/icse/Green76,,
journals/tkde/GomezW89,journals/tse/Barstow85,,
journals/tkde/GomezW89,journals/ibmrd/Heidorn76,,
journals/tkde/GomezW89,journals/tse/NechesSM85,,
journals/tkde/GongQ95,conf/sp/AklD87,,
journals/tkde/GongQ95,...,,
journals/tkde/GongQ95,...,,
journals/tkde/GongQ95,...,,
journals/tkde/GongQ95,...,,
journals/tkde/GongQ95,journals/cacm/Denning76,,
journals/tkde/GongQ95,...,,
journals/tkde/GongQ95,journals/csur/Landwehr81,,
journals/tkde/HsuCT96,journals/tkde/BachPJ93,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,books/mk/Cattell96,,
journals/tkde/HsuCT96,journals/tse/ChangYDA88,,
journals/tkde/HsuCT96,journals/tkde/ChuC94,,
journals/tkde/HsuCT96,conf/kdd/ChuC94,,
journals/tkde/HsuCT96,journals/vldb/ChuIT94,,
journals/tkde/HsuCT96,conf/sigmod/ChuMB93,,
journals/tkde/HsuCT96,journals/jiis/ChuYCMCL96,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,journals/is/ChuCT95,,
journals/tkde/HsuCT96,conf/spieSR/DaneelsCNEBBF93,,
journals/tkde/HsuCT96,conf/ssd/Egenhofer91,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,journals/computer/MehrotraG95,,
journals/tkde/HsuCT96,conf/spieSR/NiblackBEFGPYFT93,,
journals/tkde/HsuCT96,journals/tc/Perkins78,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,conf/vldb/RabittiS92,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,...,,
journals/tkde/HsuCT96,journals/tkde/WorthLK92,,
journals/tkde/FanS93a,journals/tkde/FanS93,,
journals/tkde/ChenD98,conf/vldb/ChakravarthyM86,,
journals/tkde/ChenD98,conf/icde/Chakravarthy91,,
journals/tkde/ChenD98,...,,
journals/tkde/ChenD98,conf/sigmod/Finkelstein82,,
journals/tkde/ChenD98,conf/icde/Graefe94,,
journals/tkde/ChenD98,journals/ibmrd/Hall76,,
journals/tkde/ChenD98,...,,
journals/tkde/ChenD98,books/sp/kimrb85/Jarke85,,
journals/tkde/ChenD98,conf/icde/ParkS88,,
journals/tkde/ChenD98,conf/vldb/RosenkrantzH80,,
