EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
journals/isi/X15,Lotfi Bouzguenda,,
journals/isi/X15,Samira Si-Said Cherfi,,
journals/vc/X00a,Myung-Soo Kim,,
journals/vc/X00a,Yoshihisa Shinagawa,,
journals/dt/X04c,Rajesh Gupta,,
journals/corr/abs-cmp-lg-9506008,Matthew Stone,,
journals/corr/abs-cmp-lg-9506008,Libby Levison,,
journals/corr/cs-PL-0110012,Krzysztof R. Apt,,
journals/corr/cs-PL-0110012,Roman Barták,,
journals/corr/cs-PL-0110012,Eric Monfroy,,
journals/corr/cs-PL-0110012,Francesca Rossi,,
journals/corr/cs-PL-0110012,Sebastian Brand,,
journals/bioinformatics/editors14,Andreas W. M. Dress,,
journals/bioinformatics/editors14,Michal Linial,,
journals/bioinformatics/editors14,Olga G. Troyanskaya,,
journals/bioinformatics/editors14,Martin Vingron,,
journals/jcs/X14,Konstantinos Chatzikokolakis 0001,,
journals/jcs/X14,Sebastian Alexander Mödersheim,,
journals/jcs/X14,Catuscia Palamidessi,,
journals/jcs/X14,Jun Pang,,
journals/tvcg/YuanGXZQ09,Sara Johansson,,
journals/tvcg/YuanGXZQ09,Jimmy Johansson,,
journals/siamcomp/Ben-SassonO14,Eli Ben-Sasson,,
journals/siamcomp/Ben-SassonO14,Rafail Ostrovsky,,
tr/ibm/IWBS184,Bernhard Nebel,,
tr/ibm/IWBS184,Christof Peltason,,
tr/ibm/IWBS184,Kai von Luck,,
tr/ibm/IWBS195,Ulrike Weiland,,
tr/ibm/IWBS112,Thomas Wetter,,
tr/ibm/IWBS112,Rolf Engelbrecht,,
tr/ibm/IWBS112,Reinhold Haux,,
tr/ibm/IWBS112,Frank Puppe,,
tr/ibm/IWBS112,Hans Voß,,
tr/dec/SRC1997-018,Paul R. McJones,,
