NOTE_KEY,NOTE_NAME,NOTE_AUX,NOTE_LABEL,NOTE_TYPE
journals/acta/KouvatsosA88,Errata: Acta Inf. 26 501 and 787,,,
journals/acta/LauerC77,see: Acta Informatika 5: 297-332 (1975),,,
journals/acta/LauerC75,Addenda and Corrigenda: Acta Informatica 7: 325 (1977),,,
journals/acta/LaurentLS97,Erratum: Acta Informatica 35(6): 541 (1998),,,
journals/combinatorica/Iwata96,Erratum: Combinatorica 15: 515-532 (1995),,,
journals/isi/Inforsid12,C. Inforsid,,,
journals/jasis/HershH95,Erratum: JASIS 46(9): 719 (1995),,,
journals/sigops/PeinlR83,Comment: Operating Systems Review 17(3): 5-6 (1983),,,
journals/sigops/Mohan78,Errata: Operating Systems Review 12(2): 11 (1978),,,
journals/sigops/Gschwind94,Corrections: Operating Systems Review 28(3): 64 (1994) Operating Systems Review 28(4): 80 (1994),,,
journals/sigops/Gerber77,Letters on this paper: Operating Systems Review 12(1): 3 6-11 (1978) 12(3): 5-10 (1978),,,
journals/sigops/Wilkes94,Text of an invited address delivered at SOSP 1993,,,
journals/sigops/Eskicioglu96,Erratum: Operating Systems Review 30(2): 1 (1996),,,
journals/sigops/AdamsB82,Reply: Operating System Review 16(4): 8-9 (1982),,,
journals/sigops/Lister77,discussion on this article: Operating Systems Review 12(1): 12-23 (1978) 12(2): 8 (1978) 12(3): 12-13 (1978) 12(4): 3-5 (1978),,,
journals/sigops/Browne77,letter on this report: Operating Systems Review 12(1): 2-3 (1978),,,
journals/sigops/DavariS92,additional references: Operating Systems Review 26(4): 1-2 (1992),,,
journals/sigops/BirrellN78a,Letter on this article: Operating Systems Review 12(4): 6-7 (1978),,,
journals/sigops/SchneiderB78,Letter on this article: Operating Systems Review 12(4): 5-6 (1978),,,
journals/sigops/Mosberger93,discussion on this paper: Operating Systems Review 27(3): 1-3 (1993),,,
journals/sigops/MayesQW95,Correction: Operating System Review 30(2): 1 (1996),,,
journals/tc/RabbatHR76,Correction: IEEE Transactions on Computers 25(10): 1056 (1976),,,
journals/tc/LeeS84,Comment: IEEE Transactions on Computers 38(9): 1336-1341 (1989),,,
journals/tc/Hou87,Correction: IEEE Transactions on Computers 36(9): 1135-1136 (1987),,,
journals/tc/KakugawaFYA93,Comments: IEEE Trans. Computers 43(12): 1457 (1994),,,
journals/tc/David90,see: IEEE Transactions on Computers 35(9): 830-837 (1986),,,
journals/tc/ThiebautWS92,Corrigendum: IEEE Transactions on Computers 42(5): 635-636 Comments: IEEE Transactions on Computers 43(1): 125-126,,,
journals/tc/HuS86,Comments: IEEE Transactions on Computers 38(2): 256-263 (1989),,,
journals/tc/CorsiniF79,Correction: IEEE Transactions on Computers 29(10): 759 (1980),,,
journals/tc/DowdBAP93,Addendum: IEEE Trans. Computers 43(7): 864 (1994),,,
journals/tc/MalluhiBR96,see: IEEE Transactions on Computers 44(1) (1995),,,
journals/tc/DuLH93,Corrigendum: IEEE Transactions on Computers 45(7): 863 (1996),,,
journals/tc/GuptaW92,Correction: IEEE Transactions on Computers 41(12): 1631-1632,,,
journals/tc/Parker79,Correction: IEEE Transactions on Computers 30(6): 454 (1981),,,
journals/tc/WangJ94,Correction: TC 43(10): 1248 (1994),,,
journals/tc/RaoFKL93,Correction: IEEE Transactions on Computers 43(5): 640 (1994),,,
journals/tc/Lo97,Correction: IEEE Transactions on Computers 47(12): 1425 (1998),,,
journals/tc/CicianiC89,see: IEEE Trans. Computers 33(2): 113-124 (1984),,,
journals/tc/HillS89,Correction: IEEE Transactions on Computers 41(3): 371 (1991),,,
journals/tc/KornerupM83,Correction: IEEE Transactions on Computers 33(7): 682 (1984),,,
journals/tc/TapiaT80,Corrections: IEEE Transactions on Computer 30(1): 87 (1981) 30(10): 812 (1981),,,
journals/tc/El-DessoukiH80,Correction: IEEE Transactions on Computer 30(1): 87 (1981),,,
journals/tc/Burkowski82,Correction: IEEE Transactions on Computers 33(4): 375 (1984),,,
journals/tc/Trivedi77,Correction: IEEE Transactions on Computers 27(3): 288 (1978),,,
journals/tc/Savir80a,Corrections: IEEE Transactions on Computer 29(11): 1012-1013 (1980),,,
journals/tc/VassiliadisSS91,Correction: IEEE Transactions on Computers 42(1): 127 (1993),,,
journals/tc/YenL95,Correction: IEEE Transactions on Computers 45(7): 864 (1996),,,
journals/tc/LoTR96,see: IEEE Transactions on Computers Juli 1993,,,
journals/tc/TrabadoLO93,Additions: IEEE Trans. Computers 43(3): 365-367 (1994),,,
journals/tc/ZuckerHR77,Correction: IEEE Transactions on Computer 26(9): 922-929 (1977),,,
journals/tc/SkavantzosS92,comments: March 94,,,
journals/tc/GulliverB93,Comment: IEEE Trans. Computers 43(1): 125 (1994),,,
journals/tc/KarpovskyS80,Correction: IEEE Transactions on Computer 30(1): 86 (1981),,,
journals/tc/LeeP84,Correction: IEEE Transactions on Computers 34(6): 584 (1995),,,
journals/tc/RosenbergSS97,Errata: IEEE Transactions on Computers 47(2) (1998),,,
journals/tc/Chakravarty93,Comments: IEEE Trans. Computers 43(3): 383-384 (1994),,,
journals/tc/TaylorS86,Correction: IEEE Transactions on Computers 36(2): 256 (1987),,,
journals/tc/CortadellaL92,comments: March 94,,,
journals/tc/TridandapaniSS95,Correction: IEEE Transactions on Computers 44(9): 1167 (1995),,,
