AUTHOR_KEY,AUTHOR_NAME,AUTHOR_AUX,AUTHOR_BIBTEX,AUTHOR_ORCID
books/lap/Mokhov10,Serguei A. Mokhov,,,
books/siam/Wegener00,Ingo Wegener,,,
books/iee/Ghanbari2003,Mohammed Ghanbari,,,
books/acm/0082477,Marc Rettig,,,
books/garland/Satterthwaite75,Edwin H. Satterthwaite,,,
books/garland/Sutherland63,Ivan E. Sutherland,,,
books/garland/Wilensky78,Robert Wilensky,,,
books/garland/Brosgol73,Benjamin M. Brosgol,,,
books/garland/Jain78,Rajendra K. Jain,,,
books/garland/Buzen71,Jeffrey P. Buzen,,,
books/garland/Meehan76,James R. Meehan,,,
books/garland/Sedgewick75,Robert Sedgewick,,,
books/garland/Woods67,William A. Woods,,,
books/garland/Willard78,Dan E. Willard,,,
books/garland/Moore75,Robert C. Moore,,,
books/garland/Hack75,Michel Hack,,,
books/garland/Suzuki76,Norihisa Suzuki,,,
books/garland/Shum76,Annie W. Shum,,,
books/garland/Yun73,David Y. Y. Yun,,,
books/garland/Mitchell70,James G. Mitchell,,,
books/garland/Wick75,John D. Wick,,,
books/garland/Green69,C. Cordell Green,,,
books/garland/Roberts63,Lawrence G. Roberts,,,
books/garland/Brown77,Mark R. Brown,,,
books/garland/Cartwright76,Robert Cartwright,,,
books/garland/Crane72,Clark A. Crane,,,
books/garland/Pratt72,Vaughan R. Pratt,,,
books/garland/Owicki75,Susan S. Owicki,,,
books/garland/Standish67,Thomas A. Standish,,,
books/garland/Gouraud71,Henry Gouraud,,,
books/garland/Minter76,Charles Russell Minter,,,
books/garland/Wegbreit70,Ben Wegbreit,,,
books/bu/Morgan1998,C. Robert Morgan,,,
books/bu/Rijsbergen79,C. J. van Rijsbergen,,,
books/halsted/Everitt93,B. S. Everitt,,,
books/nostrand/WittenMT94,Ian H. Witten,,,
books/nostrand/WittenMT94,Alistair Moffat,,,
books/nostrand/WittenMT94,Timothy C. Bell,,,
books/cs/Storer88,James A. Storer,,,
books/cs/HorowitzS78,Ellis Horowitz,,,
books/cs/HorowitzS78,Sartaj Sahni,,,
books/cs/Wong83,C. K. Wong,,,
books/cs/Ullman82,Jeffrey D. Ullman,,,
books/cs/NaqviT89,Shamim A. Naqvi,,,
books/cs/NaqviT89,Shalom Tsur,,,
books/cs/Parsons1992,Thomas W. Parsons,,,
books/cs/Ullman89,Jeffrey D. Ullman,,,
books/cs/Ullman88,Jeffrey D. Ullman,,,
books/cs/Papadimitriou86,Christos H. Papadimitriou,,,
books/cs/Ullman80,Jeffrey D. Ullman,,,
books/cs/Maier83,David Maier,,,
books/oldenbusch/2013,Enno Ohlebusch,,,
books/crc/KatzLindell2014,Jonathan Katz,,,
books/crc/KatzLindell2014,Yehuda Lindell,,,
books/crc/Lemone1992,Karen A. Lemone,,,
books/crc/Hitzler2010,Pascal Hitzler,,,
books/crc/Hitzler2010,Markus Krötzsch,,,
books/crc/Hitzler2010,Sebastian Rudolph,,,
books/crc/MenezesOV96,Alfred Menezes,,,
books/crc/MenezesOV96,Paul C. van Oorschot,,,
books/crc/MenezesOV96,Scott A. Vanstone,,,
books/crc/Talia2012,Domenico Talia,,,
books/crc/Talia2012,Paolo Trunfio,,,
books/crc/Czarnul2015,Pawel Czarnul,,,
books/crc/bhw2016,Kevin Byron,,,
books/crc/bhw2016,Katherine G. Herbert,,,
books/crc/bhw2016,Jason T. L. Wang,,,
books/crc/rlc2016,Ruben Rios,,,
books/crc/rlc2016,Javier Lopez,,,
books/crc/rlc2016,Jorge Cuéllar,,,
books/crc/Torgo2010,Luís Torgo,,,
books/crc/KatzLindell2007,Jonathan Katz,,,
books/crc/KatzLindell2007,Yehuda Lindell,,,
books/crc/AU1992,Alfred V. Aho,,,
books/crc/AU1992,Jeffrey D. Ullman,,,
books/infix/Konig-Ries99,Birgitta König-Ries,,,
books/infix/Hasse96,Haiyan Hasse-Ye,,,
books/infix/Latecki92,Longin Jan Latecki,,,
books/infix/Markl99,Volker Markl,,,
books/infix/Steinhage93,Volker Steinhage,,,
books/infix/Klotz93,Karlhorst Klotz,,,
books/infix/Schaad96,Werner Schaad,,,
books/infix/Gunter92,Andreas Günter,,,
books/infix/Gunthor97,Roger Günthör,,,
books/infix/Weik97,Thomas Weik,,,
books/infix/Walter96,Hans-Dirk Walter,,,
books/infix/Ingenerf93,Josef Ingenerf,,,
books/infix/Schwarz99,Kerstin Schwarz,,,
books/infix/Althoff93,Klaus-Dieter Althoff,,,
books/infix/Wetzel96,Dirk Wetzel,,,
books/infix/Kottmann96,Dietmar A. Kottmann,,,
books/infix/Kaiser97,Michael Kaiser,,,
books/infix/Zhang92,Byoung-Tak Zhang,,,
books/infix/Rys98,Michael Rys,,,
books/infix/Argenton98,Hans Argenton,,,
books/infix/Klettke98,Meike Klettke,,,
books/infix/Schuhart2006,Henrike Schuhart,,,
books/infix/Strasser92,Andreas Strasser,,,
books/infix/Hartel97,Peter Hartel,,,
books/infix/Rieche96,Barbara Rieche,,,
books/infix/Wiltfang99,Hajo R. Wiltfang,,,
books/infix/Frank97,Heinz Frank,,,
books/infix/Hemforth93,Barbara Hemforth,,,
books/infix/Dobrovnik97,Michael Dobrovnik,,,
books/infix/Tank92,Wolfgang Tank,,,
books/infix/Meskes97,Michael Meskes,,,
books/infix/Messer92,Tilo Messer,,,
books/infix/Listl96,Andreas Listl,,,
books/infix/Wanner98,Gerhard Wanner,,,
books/infix/Bayer93,Thomas Bayer,,,
books/infix/Viegener97,Johannes Viegener,,,
books/infix/Assmann92,Ulrich Aßmann,,,
books/infix/Heinsohn94,Jochen Heinsohn,,,
books/infix/Reinert96,Joachim Reinert,,,
books/infix/Zercher92,Kai Zercher,,,
books/infix/Simon93,Lothar Simon,,,
books/infix/Andre95,Elisabeth André,,,
books/infix/Hofmann98,Markus Hofmann,,,
books/infix/Denker96,Grit Denker,,,
books/infix/Kusch96,Jan-Hardy Kusch,,,
books/infix/Ertel93,Wolfgang Ertel,,,
books/infix/Krivokapic99,Natalija Krivokapic,,,
books/infix/Maier93,Albert Maier,,,
books/infix/Ludascher98,Bertram Ludäscher,,,
books/infix/Mehl93,Stephan Mehl,,,
books/infix/Ritter97,Norbert Ritter,,,
books/infix/Grosse99,Arnd G. Grosse,,,
books/infix/Kliger96,Christoph Kilger,,,
books/infix/Syska92,Ingo Syska,,,
books/infix/Prechtel93,Reinhard Prechtel,,,
books/infix/Spreng93,Michael Spreng,,,
books/infix/Preuner99,Günter Preuner,,,
books/infix/Myka99,Andreas Myka,,,
books/infix/Schmitt98,Ingo Schmitt,,,
books/infix/Schaefers2016,Michael Schäfers 0002,,,
books/infix/Homann97,Karsten Homann,,,
books/infix/Liu93,Haibin Liu,,,
books/infix/Dusterhoft97,Antje Düsterhöft,,,
books/infix/Uhrmacher92,Adelinde M. Uhrmacher,,,
books/infix/Otte94,Michael Otte,,,
books/infix/Sauter98,Günter Sauter,,,
books/infix/Benzschawel96,Stefan Benzschawel,,,
books/infix/Mast93,Marion Mast,,,
books/infix/Kapsammer99,Elisabeth Kapsammer,,,
books/infix/Gertz96,Michael Gertz,,,
books/infix/Kohne93,Axel Köhne,,,
books/infix/Jonscher98,Dirk Jonscher,,,
books/infix/Stein94,Thorsten von Stein,,,
books/infix/Neugebauer92,Gerd Neugebauer,,,
books/infix/Fahrner97,Christian Fahrner,,,
books/infix/Cao93,Yong Cao,,,
books/infix/Nissen97,Hans W. Nissen,,,
books/infix/Bruning93,Hans-Christian Brüning,,,
books/infix/Gallersdorfer97,Rainer Gallersdörfer,,,
books/infix/Winklhofer94,Andreas Winklhofer,,,
books/infix/Berns94,Karsten Berns,,,
books/infix/Lehner93,Christoph Lehner,,,
books/infix/Eusterbrock92,Jutta Eusterbrock,,,
books/infix/Kandzia98,Paul-Thomas Kandzia,,,
books/infix/Fischer93,Klaus Fischer 0001,,,
books/infix/vonWangenheim97,Aldo von Wangenheim,,,
books/infix/Wodtke97,Dirk Wodtke,,,
books/infix/Zachmann97,Andreas Zachmann,,,
books/infix/Kummert92,Franz Kummert,,,
books/infix/Werling93,Gerhard Werling,,,
books/infix/Maurer93,Frank Maurer,,,
books/infix/Boss96,Birgit Boss,,,
books/infix/Neufeld94,Andrea Neufeld,,,
books/infix/Breitner98,Christoph Breitner,,,
books/infix/Thomas96,Joachim Thomas 0001,,,
books/infix/Sommer93,Claudia Sommer,,,
books/infix/Staudt97,Martin Staudt,,,
books/infix/Ley93,Michael Ley,,,
books/infix/Muller92,Claus Müller,,,
books/infix/Schroder94,Martin Schröder,,,
books/infix/Woss99,Wolfram Wöß,,,
books/infix/Obermayer93,Klaus Obermayer,,,
books/infix/Reithinger92,Norbert Reithinger,,,
books/infix/Neubert94,Susanne Neubert,,,
books/infix/Kaldeich97,Claus Kaldeich,,,
books/infix/Moller96,Ralf Möller,,,
books/infix/Geyer99,Werner Geyer,,,
books/infix/Rezende97,Fernando de Ferreira Rezende,,,
books/infix/Hormann92,Andreas Hörmann,,,
books/infix/Weiss95,Gerhard Weiß,,,
books/infix/Turker99,Can Türker,,,
books/infix/Eckstein93,Wolfgang Eckstein,,,
books/infix/Makoui2007,Mazeyar E. Makoui,,,
books/infix/Schuster98,Hans Schuster,,,
books/infix/Posegga93,Joachim Posegga,,,
books/infix/Specht93,Günther Specht,,,
books/infix/Pauli93,Josef Pauli,,,
books/infix/Jeusfeld92,Manfred A. Jeusfeld,,,
books/infix/Karbach94,Werner Karbach,,,
books/infix/Hartmann96,Thorsten Hartmann,,,
books/infix/Ludewig93,Petra Ludewig,,,
books/infix/Zhao94,Jun Zhao,,,
books/infix/Masermann99,Ute Masermann,,,
books/infix/Steinbrunn96,Michael Steinbrunn,,,
books/infix/Hartroth99,Jörn Hartroth,,,
books/infix/Martinetz92,Thomas Martinetz,,,
books/infix/Herzog96,Uwe Herzog,,,
books/infix/Moller92,Knut Möller,,,
books/infix/Kockskamper96,Sabine Kockskämper,,,
books/infix/Retschitzegger97,Werner Retschitzegger,,,
books/infix/Angele93,Jürgen Angele,,,
books/infix/Bergmann96,Ralph Bergmann,,,
books/infix/Peithner96,Klaus Peithner,,,
books/infix/Koller92,Dieter Koller,,,
books/infix/Wohlke92,Günter Wöhlke,,,
books/infix/Kudrass97,Thomas Kudrass,,,
books/infix/Hotker97,Wilfried Hötker,,,
books/infix/Gerlhof96,Carsten Andreas Gerlhof,,,
books/infix/Cunis92,Roman Cunis,,,
books/infix/Pagel96,Bernd-Uwe Pagel,,,
books/infix/Sauer93,Jürgen Sauer,,,
books/mk/KhoshafianCWW92,Setrag Khoshafian,,,
books/mk/KhoshafianCWW92,Arvola Chan,,,
books/mk/KhoshafianCWW92,Anna Wong,,,
books/mk/KhoshafianCWW92,Harry K. T. Wong,,,
books/mk/WeikumV2002,Gerhard Weikum,,,
books/mk/WeikumV2002,Gottfried Vossen,,,
books/mk/KhoshafianD98,Setrag Khoshafian,,,
books/mk/KhoshafianD98,Surapol Dasananda,,,
books/mk/Quinlan93,J. Ross Quinlan,,,
books/mk/Ginsberg93,Matthew L. Ginsberg,,,
books/mk/Celko99,Joe Celko,,,
books/mk/WittenGN06,Ian H. Witten,,,
books/mk/WittenGN06,Marco Gori,,,
books/mk/WittenGN06,Teresa Numerico,,,
books/mk/StonebrakerBM98,Michael Stonebraker,,,
books/mk/StonebrakerBM98,Paul Brown,,,
books/mk/StonebrakerBM98,Dorothy Moore,,,
books/mk/BrodieS95,Michael L. Brodie,,,
books/mk/BrodieS95,Michael Stonebraker,,,
books/mk/Subrahmanian98,V. S. Subrahmanian,,,
books/mk/Natarajan91,Balas K. Natarajan,,,
books/mk/Cattell96,R. G. G. Cattell,,,
books/mk/PattersonH94,David A. Patterson,,,
books/mk/PattersonH94,John L. Hennessy,,,
books/mk/Celko95,Joe Celko,,,
books/mk/Lightstone2007,Sam Lightstone,,,
books/mk/Lightstone2007,Toby J. Teorey,,,
books/mk/Lightstone2007,Thomas P. Nadeau,,,
books/mk/Pyle99,Dorian Pyle,,,
books/mk/HanK2000,Jiawei Han 0001,,,
books/mk/HanK2000,Micheline Kamber,,,
books/mk/Teory98,Toby J. Teorey,,,
books/mk/Chamberlin98,Donald D. Chamberlin,,,
books/mk/Celko97,Joe Celko,,,
books/mk/EppingerMS91,Jeffrey L. Eppinger,,,
books/mk/EppingerMS91,Lily B. Mummert,,,
books/mk/EppingerMS91,Alfred Z. Spector,,,
books/mk/Melton98,Jim Melton,,,
books/mk/Melton00,Jim Melton,,,
books/mk/Cattell00,R. G. G. Cattell,,,
books/mk/Cattell00,Douglas K. Barry,,,
books/mk/LynchMWF93,Nancy A. Lynch,,,
books/mk/LynchMWF93,Michael Merritt,,,
books/mk/LynchMWF93,William E. Weihl,,,
books/mk/LynchMWF93,Alan Fekete,,,
books/mk/PuderR00,Arno Puder,,,
