CITE_KEY,CITE_NAME,CITE_LABEL,CITE_REF
books/cs/Ullman89,...,Abiteboul and Grumbach 1987,
books/cs/Ullman89,conf/pods/AbiteboulH84,Abiteboul and Hull 1987,
books/cs/Ullman89,conf/pods/AbiteboulV88,Abiteboul and Vianu 1988,
books/cs/Ullman89,journals/tods/Addis82,Addis 1982,
books/cs/Ullman89,conf/pods/AfratiPPRSU86,Afrati et al. 1986,
books/cs/Ullman89,journals/tods/AghiliS82,Aghili and Severance 1982,
books/cs/Ullman89,conf/sigmod/AgrawalCL85,Agrawal et al. 1985,
books/cs/Ullman89,journals/tods/AgrawalD85,Agrawal and de Witt 1985,
books/cs/Ullman89,conf/vldb/AgrawalJ87,Agrawal and Jagadish 1987,
books/cs/Ullman89,journals/tods/AhoBU79,Aho et al. 1979,
books/cs/Ullman89,books/aw/AhoHU74,Aho et al. 1974,
books/cs/Ullman89,books/aw/AhoHU83,Aho et al. 1983,
books/cs/Ullman89,journals/spe/AhoKW79,Aho et al. 1979a,
books/cs/Ullman89,books/aw/AhoKW88,Aho et al. 1988,
books/cs/Ullman89,books/aw/AhoSU86,Aho et al. 1986,
books/cs/Ullman89,journals/siamcomp/AhoSU79,Aho et al. 1979b,
books/cs/Ullman89,journals/tods/AhoSU79,Aho et al. 1979c,
books/cs/Ullman89,journals/tods/AhoU79,Aho and Ullman 1979a,
books/cs/Ullman89,conf/popl/AhoU79,Aho and Ullman 1979b,
books/cs/Ullman89,...,ANSI 1975,
books/cs/Ullman89,journals/tse/ApersHY83,Apers et al. 1983,
books/cs/Ullman89,books/el/leeuwen90/Apt90,Apt 1987,
books/cs/Ullman89,books/mk/minker88/AptBW88,Apt et al. 1985,
books/cs/Ullman89,conf/pods/AptP87,Apt and Pugin 1987,
books/cs/Ullman89,journals/jacm/AptE82,Apt and van Emden 1982,
books/cs/Ullman89,conf/ifip/Armstrong74,Armstrong 1974,
books/cs/Ullman89,conf/vldb/AroraC78,Arora and Carlson 1978,
books/cs/Ullman89,journals/cacm/AstrahanC75,Astrahan and Chamberlin 1975,
books/cs/Ullman89,journals/tods/AstrahanBCEGGKLMMPTWW76,Astrahan et al. 1976,
books/cs/Ullman89,journals/computer/AstrahanBCGKLLMPPSSSSTTWY79,Astrahan et al. 1979,
books/cs/Ullman89,conf/ifip/AstrahanSK80,Astrahan et al. 1980,
books/cs/Ullman89,conf/pods/AtzeniC85,Atzeni and Chan 1985,
books/cs/Ullman89,conf/pods/AtzeniB87,Atzeni and DeBernardis 1987,
books/cs/Ullman89,conf/pods/AtzeniP82,Atzeni and Parker 1982,
books/cs/Ullman89,...,Bachman 1969,
books/cs/Ullman89,conf/vldb/Badal80,Badal 1980,
books/cs/Ullman89,...,Balbin et al. 1988,
books/cs/Ullman89,...,Balbin et al. 1987,
books/cs/Ullman89,...,Balbin and Ramamohanarao 1986,
books/cs/Ullman89,journals/sigmod/Bancilhon86,Bancilhon 1986a,
books/cs/Ullman89,conf/db-workshops/Bancilhon85,Bancilhon 1986b,
books/cs/Ullman89,conf/pods/BancilhonK86,Bancilhon and Khoshafian 1986,
books/cs/Ullman89,conf/pods/BancilhonMSU86,Bancilhon et al. 1986,
books/cs/Ullman89,conf/sigmod/BancilhonR86,Bancilhon and Ramakrishnan 1986,
books/cs/Ullman89,journals/tods/BaroodyD81,Baroody and DeWitt 1981,
books/cs/Ullman89,conf/pods/Batory88,Batory 1988,
