EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
reference/spatial/2007,Marco Aiello 0001,,
reference/spatial/2007,Ian Pratt-Hartmann,,
reference/spatial/2007,Johan van Benthem,,
reference/dmkdh/2010,Oded Maimon,,
reference/dmkdh/2010,Lior Rokach,,
reference/crypt/2011,Henk C. A. van Tilborg,,
reference/crypt/2011,Sushil Jajodia,,
reference/crypt/2005,Henk C. A. van Tilborg,,
reference/convergence/2016,William Sims Bainbridge,,
reference/convergence/2016,Mihail C. Roco,,
reference/sc/2015,John Baillieul,,
reference/sc/2015,Tariq Samad,,
reference/fai/1,Michael Fisher,,
reference/fai/1,Dov M. Gabbay,,
reference/fai/1,Lluís Vila,,
reference/fai/2,Francesca Rossi,,
reference/fai/2,Peter van Beek,,
reference/fai/2,Toby Walsh,,
reference/fai/3,Frank van Harmelen,,
reference/fai/3,Vladimir Lifschitz,,
reference/fai/3,Bruce W. Porter,,
reference/crc/2006momi,Paolo Bellavista,,0000-0003-0992-7948
reference/crc/2006momi,Antonio Corradi,,
reference/crc/2012vs,Lucia Maddalena,,
reference/crc/2014mmm,Edoardo M. Airoldi,,
reference/crc/2014mmm,David M. Blei,,
reference/crc/2014mmm,Elena A. Erosheva,,
reference/crc/2014mmm,Stephen E. Fienberg,,
reference/crc/2004mc,Mohammad Ilyas,,
reference/crc/2004mc,Imad Mahgoub,,
reference/crc/2009ua,Constantine Stephanidis,,
reference/crc/2007aam,Teofilo F. Gonzalez,,
reference/crc/2012fsbma,Jiacun Wang,,
reference/crc/2004sch,Joseph Y.-T. Leung,,
reference/crc/2005bioi,Stephan Olariu,,
reference/crc/2005bioi,Albert Y. Zomaya,,
reference/crc/2005es,Richard Zurawski,,
reference/crc/2013gd,Roberto Tamassia,,
reference/crc/2007dsm,Paul A. Fishwick,,
reference/crc/1999drm,Kenneth H. Rosen,,
reference/crc/1999drm,John G. Michaels,,
reference/crc/1999drm,Jonathan L. Gross,,
reference/crc/1999drm,Jerrold W. Grossman,,
reference/crc/1999drm,Douglas R. Shier,,
reference/crc/2010fcs,Burton Rosenberg,,
reference/crc/2007rtes,Sang Hyuk Son,,
reference/crc/2007rtes,Insup Lee,,
reference/crc/2007rtes,Joseph Y.-T. Leung,,
reference/crc/2004dsa,Dinesh P. Mehta,,
reference/crc/2004dsa,Sartaj Sahni,,
reference/crc/2005awnmc,Azzedine Boukerche,,
reference/crc/2005ehcc,Henri Cohen,,
reference/crc/2005ehcc,Gerhard Frey,,
reference/crc/2005ehcc,Roberto Avanzi,,
reference/crc/2005ehcc,Christophe Doche,,
reference/crc/2005ehcc,Tanja Lange,,
reference/crc/2005ehcc,Kim Nguyen,,
reference/crc/2005ehcc,Frederik Vercauteren,,
reference/crc/2007pc,Sanguthevar Rajasekaran,,
reference/crc/2007pc,John H. Reif,,
reference/crc/2004ic,Munindar P. Singh,,
reference/crc/2007ismh,Harold F. Tipton,,
reference/crc/2007ismh,Micki Krause,,
reference/crc/2012green,Ishfaq Ahmad,,
reference/crc/2012green,Sanjay Ranka,,
reference/crc/2008apda,Charles J. Alpert,,
reference/crc/2008apda,Dinesh P. Mehta,,
reference/crc/2008apda,Sachin S. Sapatnekar,,
reference/crc/2014vr,Kelly S. Hale,,
reference/crc/2014vr,Kay M. Stanney,,
reference/vlsi/1999,Wai-Kai Chen,,
reference/auto/2009,Shimon Y. Nof,,
reference/ai/2009,Juan R. Rabuñal,,
reference/ai/2009,Julian Dorado,,
reference/ai/2009,Alejandro Pazos,,
reference/cg/2004,Jacob E. Goodman,,
reference/cg/2004,Joseph O'Rourke,,
reference/vdt/2012,Janglin Chen,,
reference/vdt/2012,Wayne Cranton,,
reference/vdt/2012,Mark Fihn,,
reference/nc/2012,Grzegorz Rozenberg,,
reference/nc/2012,Thomas Bäck,,
reference/nc/2012,Joost N. Kok,,
reference/knowledge/2011,David G. Schwartz,,
reference/knowledge/2011,Dov Te'eni,,
reference/opt/2009,Christodoulos A. Floudas,,
reference/opt/2009,Panos M. Pardalos,,
reference/rsh/2011,Francesco Ricci,,
reference/rsh/2011,Lior Rokach,,
reference/rsh/2011,Bracha Shapira,,
reference/rsh/2011,Paul B. Kantor,,
reference/dlhandbook/2009,Yin Leng Theng,,
reference/dlhandbook/2009,Schubert Foo,,
reference/dlhandbook/2009,Dion Hoe-Lian Goh,,
reference/dlhandbook/2009,Jin-Cheon Na,,
reference/tf/2008ewmc,Borko Furht,,
reference/tf/2011eia,Rebecca Herold,,
reference/forensics/2010,Chang-Tsun Li,,
reference/mosi/2014,Daniele Gianni,,
reference/mosi/2014,Andrea D'Ambrogio,,
reference/mosi/2014,Andreas Tolk,,
reference/cn/2014,Dieter Jaeger,,
reference/cn/2014,Ranu Jung,,
reference/algo/2008,Ming-Yang Kao,,
reference/algo/2008t,Berthold Vöcking,,
reference/algo/2008t,Helmut Alt,,
reference/algo/2008t,Martin Dietzfelbinger,,
