BOOK_KEY,LAST_MDATE,PUBLTYPE,CDATE,TITLE,BOOKTITLE,PAGES,YEAR,VOLUME,MONTH,URL,CDROM,NOTE,SERIES,SCHOOL
reference/spatial/2007,2014-06-10,,,Handbook of Spatial Logics,,,2007,,,db/reference/spatial/spatial2007.html,,,,
reference/dmkdh/2010,2011-01-08,,,Data Mining and Knowledge Discovery Handbook 2nd ed.,Data Mining and Knowledge Discovery Handbook 2nd ed.,,2010,,,db/reference/dmkdh/dmkdh2010.html,,,,
reference/crypt/2011,2017-05-16,,,Encyclopedia of Cryptography and Security 2nd Ed.,,,2011,,,db/reference/crypt/crypt2011.html,,,,
reference/crypt/2005,2011-11-25,,,Encyclopedia of Cryptography and Security,,,2005,,,db/reference/crypt/crypt2005.html,,,,
reference/convergence/2016,2017-05-16,,,Handbook of Science and Technology Convergence,,,2016,,,db/reference/convergence/convergence2016.html,,,,
reference/sc/2015,2017-05-16,,,Encyclopedia of Systems and Control,,,2015,,,db/reference/sc/sc2015.html,,,,
reference/fai/1,2015-10-16,,,Handbook of Temporal Reasoning in Artificial Intelligence,Handbook of Temporal Reasoning in Artificial Intelligence,,,1,,,,,Foundations of Artificial Intelligence,
reference/fai/2,2015-10-16,,,Handbook of Constraint Programming,Handbook of Constraint Programming,,2006,2,,db/reference/fai/fai2.html,,,Foundations of Artificial Intelligence,
reference/fai/3,2015-10-16,,,Handbook of Knowledge Representation,Handbook of Knowledge Representation,,2008,3,,db/reference/fai/fai3.html,,,Foundations of Artificial Intelligence,
reference/crc/2006momi,2017-06-14,,,The Handbook of Mobile Middleware.,,,2006,,,db/reference/crc/momi2006.html,,,,
reference/crc/2012vs,2017-05-16,,,Handbook on Soft Computing for Video Surveillance.,,,2012,,,db/reference/crc/vs2012.html,,,,
reference/crc/2014mmm,2015-06-05,,,Handbook of Mixed Membership Models and Their Applications.,,,2014,,,db/reference/crc/mmm2014.html,,,,
reference/crc/2004mc,2017-05-16,,,Mobile Computing Handbook.,,,2004,,,db/reference/crc/mc2004.html,,,,
reference/crc/2009ua,2017-05-16,,,The Universal Access Handbook.,,,2009,,,db/reference/crc/ua2009.html,,,,
reference/crc/2007aam,2017-05-16,,,Handbook of Approximation Algorithms and Metaheuristics.,,,2007,,,db/reference/crc/aam2007.html,,,,
reference/crc/2012fsbma,2017-05-16,,,Handbook of Finite State Based Models and Applications.,,,2012,,,db/reference/crc/fsbma2012.html,,,,
reference/crc/2004sch,2015-06-03,,,Handbook of Scheduling - Algorithms Models and Performance Analysis.,,,2004,,,db/reference/crc/sch2004.html,,,,
reference/crc/2005bioi,2017-05-16,,,Handbook of Bioinspired Algorithms and Applications.,,,2005,,,db/reference/crc/bioi2005.html,,,,
reference/crc/2005es,2017-05-16,,,Embedded Systems Handbook.,,,2005,,,db/reference/crc/es2005.html,,,,
reference/crc/2013gd,2016-01-17,,,Handbook on Graph Drawing and Visualization.,,,2013,,,db/reference/crc/gd2013.html,,,,
reference/crc/2007dsm,2017-05-16,,,Handbook of Dynamic System Modeling.,,,2007,,,db/reference/crc/dsm2007.html,,,,
reference/crc/1999drm,2017-05-16,,,Handbook of Discrete and Combinatorial Mathematics.,,,1999,,,db/reference/crc/drm1999.html,,,,
reference/crc/2010fcs,2017-05-16,,,Handbook of Financial Cryptography and Security.,,,2010,,,db/reference/crc/fcs2010.html,,,,
reference/crc/2007rtes,2017-07-05,,,Handbook of Real-Time and Embedded Systems.,,,2007,,,db/reference/crc/rtes2007.html,,,,
reference/crc/2004dsa,2017-05-16,,,Handbook of Data Structures and Applications.,,,2004,,,db/reference/crc/dsa2004.html,,,,
reference/crc/2005awnmc,2017-05-16,,,Handbook of Algorithms for Wireless Networking and Mobile Computing.,,,2005,,,db/reference/crc/awnmc2005.html,,,,
reference/crc/2005ehcc,2017-05-16,,,Handbook of Elliptic and Hyperelliptic Curve Cryptography.,,,2005,,,db/reference/crc/ehcc2005.html,,,,
reference/crc/2007pc,2017-05-16,,,Handbook of Parallel Computing - Models Algorithms and Applications.,,,2007,,,db/reference/crc/pc2007.html,,,,
reference/crc/2004ic,2017-05-16,,,The Practical Handbook of Internet Computing.,,,2004,,,db/reference/crc/ic2004.html,,,,
reference/crc/2007ismh,2017-05-16,,,Information security management handbook Sixth Edition.,,I-XLVI 1-3231,2007,,,db/reference/crc/ismh2007.html,,,,
reference/crc/2012green,2015-06-05,,,Handbook of Energy-Aware and Green Computing - Two Volume Set.,,,2012,,,db/reference/crc/green2012.html,,,,
reference/crc/2008apda,2017-05-16,,,Handbook of Algorithms for Physical Design Automation.,,,2008,,,db/reference/crc/apda2008.html,,,,
reference/crc/2014vr,2017-05-16,,,Handbook of Virtual Environments - Design Implementation and Applications Second Edition.,Handbook of Virtual Environments 2nd ed.,,2014,,,db/reference/crc/vr2014.html,,,,
reference/vlsi/1999,2017-05-16,,,The VLSI Handbook.,,,1999,,,db/reference/vlsi/vlsi1999.html,,,,
reference/auto/2009,2017-05-16,,,Springer Handbook of Automation,Handbook of Automation,,2009,,,db/reference/auto/auto2009.html,,,,
reference/ai/2009,2017-05-16,,,Encyclopedia of Artificial Intelligence (3 Volumes),Encyclopedia of  Artificial Intelligence,,2009,,,db/reference/ai/ai2009.html,,,,
reference/cg/2004,2017-05-16,,,Handbook of Discrete and Computational Geometry Second Edition.,,,2004,,,db/reference/cg/dcg2004.html,,,,
reference/vdt/2012,2017-05-16,,,Handbook of Visual Display Technology,Handbook of Visual Display Technology,,2012,,,db/reference/vdt/vdt2012.html,,,,
reference/nc/2012,2017-05-16,,,Handbook of Natural Computing,Handbook of Natural Computing,,2012,,,db/reference/nc/nc2012.html,,,,
reference/knowledge/2011,2017-05-16,,,Encyclopedia of Knowledge Management Second Edition,Encyclopedia of Knowledge Management,,2011,,,db/reference/knowledge/knowledge2011.html,,,,
reference/opt/2009,2011-11-25,,,Encyclopedia of Optimization Second Edition,,,2009,,,db/reference/opt/opt2009.html,,,,
reference/rsh/2011,2011-01-08,,,Recommender Systems Handbook,Recommender Systems Handbook,,2011,,,db/reference/rsh/rsh2011.html,,,,
reference/dlhandbook/2009,2017-05-16,,,Handbook of Research on Digital Libraries: Design Development and Impact,Handbook of Research on Digital Libraries,,2009,,,db/reference/dlhandbook/dlhandbook2009.html,,,,
reference/tf/2008ewmc,2015-06-11,,,Encyclopedia of Wireless and Mobile Communications,,,2008,,,db/reference/tf/ewmc2008.html,,,,
