ISBN_KEY,ISBN_NAME
reference/spatial/2007,978-1-4020-5586-7
reference/dmkdh/2010,978-0-387-09822-7
reference/crypt/2011,978-1-4419-5905-8
reference/crypt/2005,978-0-387-23473-1
reference/convergence/2016,978-3-319-07051-3
reference/convergence/2016,978-3-319-07052-0
reference/sc/2015,978-1-4471-5102-9
reference/fai/2,978-0-444-52726-4
reference/fai/3,978-0-444-52211-5
reference/crc/2006momi,978-0-8493-3833-5
reference/crc/2006momi,978-1-4200-1315-3
reference/crc/2012vs,978-1-4398-5684-0
reference/crc/2012vs,978-1-4398-5685-7
reference/crc/2014mmm,978-1-4665-0408-0
reference/crc/2014mmm,978-1-4665-0409-7
reference/crc/2004mc,978-0-8493-1971-6
reference/crc/2004mc,978-0-203-50408-6
reference/crc/2009ua,978-0-8058-6280-5
reference/crc/2009ua,978-1-4200-6499-5
reference/crc/2007aam,978-1-58488-550-4
reference/crc/2007aam,978-1-4200-1074-9
reference/crc/2012fsbma,978-1-4398-4618-6
reference/crc/2012fsbma,978-1-4398-4619-3
reference/crc/2004sch,978-1-58488-397-5
reference/crc/2004sch,978-0-203-48980-2
reference/crc/2005bioi,978-1-58488-475-0
reference/crc/2005bioi,978-1-4200-3506-3
reference/crc/2005es,978-0-8493-2824-4
reference/crc/2005es,978-1-4200-3816-3
reference/crc/2013gd,978-1-5848-8412-5
reference/crc/2007dsm,978-1-58488-565-8
reference/crc/2007dsm,978-1-4200-1085-5
reference/crc/1999drm,978-0-8493-0149-0
reference/crc/1999drm,978-1-4398-3290-5
reference/crc/2010fcs,978-1-4200-5981-6
reference/crc/2010fcs,978-1-4200-5982-3
reference/crc/2007rtes,978-1-58488-678-5
reference/crc/2007rtes,978-1-4200-1174-6
reference/crc/2004dsa,978-1-58488-435-4
reference/crc/2004dsa,978-1-4200-3517-9
reference/crc/2005awnmc,978-1-58488-465-1
reference/crc/2005awnmc,978-1-4200-3509-4
reference/crc/2005ehcc,978-1-58488-518-4
reference/crc/2005ehcc,978-1-4200-3498-1
reference/crc/2007pc,978-1-58488-623-5
reference/crc/2007pc,978-1-4200-1129-6
reference/crc/2004ic,978-1-58488-381-4
reference/crc/2004ic,978-0-203-50722-3
reference/crc/2007ismh,978-0-8493-7495-1
reference/crc/2007ismh,978-1-4398-3303-2
reference/crc/2012green,978-1-4665-0116-4
reference/crc/2012green,978-1-4822-5444-0
reference/crc/2008apda,978-0-8493-7242-1
reference/crc/2008apda,978-1-4200-1348-1
reference/crc/2014vr,978-1-4665-1184-2
reference/crc/2014vr,978-1-4665-1185-9
reference/vlsi/1999,978-0-8493-8593-3
reference/vlsi/1999,978-1-4200-4967-1
reference/auto/2009,978-3-540-78830-0
reference/ai/2009,9781599048499
reference/cg/2004,978-1-58488-301-2
reference/cg/2004,978-1-4200-3531-5
reference/vdt/2012,978-3-540-79566-7
reference/nc/2012,978-3-540-92909-3
reference/knowledge/2011,9781599049311
reference/opt/2009,978-0-387-74758-3
reference/rsh/2011,978-0-387-85819-7
reference/dlhandbook/2009,9781599048796
reference/tf/2008ewmc,1-4200-4326-9
reference/tf/2008ewmc,1-4200-5562-3
reference/tf/2011eia,1-4200-6620-X
reference/tf/2011eia,1-4200-6622-6
reference/forensics/2010,9781605668369
reference/mosi/2014,978-1-4665-7145-7
reference/mosi/2014,978-1-4665-7146-4
reference/cn/2014,978-1-4614-7320-6
reference/algo/2008,978-0-387-30162-4
reference/algo/2008t,978-3-540-76393-2
reference/algo/2016,978-1-4939-2863-7
reference/algo/2016,978-1-4939-2864-4
reference/portal/2007,9781591409892
reference/icsec/2010,978-3-642-04116-7
reference/gis/2008,978-0-387-30858-6
reference/gis/2017,978-3-319-17884-4
reference/gis/2017,978-3-319-17885-1
reference/gis/2014,978-0-387-36698-2
reference/gis/2014,978-0-387-36699-9
reference/nlp/2010,978-1-4200-8592-1
reference/nlp/2010,978-1-4200-8593-8
reference/choice/2016,9781107446984
reference/sps/2013,978-1-4614-6858-5
reference/sps/2013,978-1-4614-6859-2
reference/sp/2015dc,978-1-4939-2091-4
reference/sp/2015rsh,978-1-4899-7636-9
reference/sp/2015rsh,978-1-4899-7637-6
reference/sp/2015mmi,978-1-4939-0789-2
reference/sp/2015mmi,978-1-4939-0790-8
reference/sp/2015ci,978-3-662-43504-5
reference/sp/2015ci,978-3-662-43505-2
reference/sp/2011semweb,978-3-540-92912-3
reference/sp/2011semweb,978-3-540-92913-0
reference/sp/2013hc,978-1-4614-8805-7
reference/vision/2014,978-0-387-30771-8
reference/vision/2014,978-0-387-31439-6
reference/parallel/2011,978-0-387-09765-7
reference/ethics/2007,9781591409885
reference/dbsec/2008,978-0-387-48532-4
reference/se/2010,978-1-4200-5977-9
reference/assisted/2012,978-1-60750-836-6
reference/mm/2008,978-0-387-74724-8
reference/mm/2008,978-0-387-78414-4
reference/mm/2006,978-0-387-24395-5
reference/bio/2009,978-0-387-73002-8
reference/bio/2009,978-0-387-73003-5
reference/bio/2015,978-1-4899-7487-7
reference/bio/2015,978-1-4899-7488-4
reference/snam/2014,978-1-4614-6169-2
reference/snam/2014,978-1-4614-6170-8
reference/docip/2014,978-0-85729-858-4
reference/mediated/2008,9781599048635
reference/social/2010,978-1-4419-7141-8
reference/ubiqhandbook/2008,9781599048321
reference/robo/2008,978-3-540-23957-4
reference/robo/2016,978-3-319-32550-7
reference/robo/2016,978-3-319-32552-1
reference/ml/2017,978-1-4899-7685-7
reference/ml/2017,978-1-4899-7687-1
reference/ml/2010,978-0-387-30768-8
reference/npe/2011,978-3-642-02741-3
reference/db/2009,978-0-387-35544-3
reference/db/2009,978-0-387-39940-9
reference/complexity/2009,978-0-387-75888-6
books/lap/Mokhov10,978-3838311982
books/siam/Wegener00,0-89871-458-3
books/iee/Ghanbari2003,0-85296-710-1
books/acm/Kim95,0-201-59098-0
books/acm/0082477,0-89791-463-5
books/garland/Satterthwaite75,0-8240-4416-9
books/garland/Sutherland63,0-8240-4411-8
books/garland/Wilensky78,0-8240-4410-X
books/garland/Brosgol73,0-8240-4400-2
books/garland/Jain78,0-8240-4402-9
books/garland/Buzen71,0-8240-4401-0
books/garland/Meehan76,0-8240-4409-6
books/garland/Sedgewick75,0-8240-4417-7
books/garland/Woods67,0-8240-4419-3
books/garland/Willard78,0-8240-4405-3
books/garland/Moore75,0-8240-4403-7
books/garland/Hack75,0-8240-4424-X
books/garland/Suzuki76,0-8240-4425-8
books/garland/Shum76,0-8240-4404-5
books/garland/Yun73,0-8240-4426-6
books/garland/Mitchell70,0-8240-4414-2
books/garland/Wick75,0-8240-4418-5
books/garland/Roberts63,0-8240-4427-4
books/garland/Brown77,0-8240-4408-8
books/garland/Cartwright76,0-8240-4420-7
books/garland/Crane72,0-8240-4407-X
books/garland/Pratt72,0-8240-4406-1
books/garland/Owicki75,0-8240-4413-4
books/garland/Standish67,0-8240-4422-3
books/garland/Gouraud71,0-8240-4412-6
books/garland/Minter76,0-8240-4421-5
books/garland/Wegbreit70,0-8240-4423-1
books/bu/Morgan1998,155558179X
books/bu/Rijsbergen79,0-408-70929-4
books/nostrand/WittenMT94,0-442-01863-0
books/cs/Ullman82,0-914894-36-6
books/cs/NaqviT89,0-7167-8200-6
books/cs/Parsons1992,0-7167-8261-8
books/cs/Ullman89,0-7167-8162-X
books/cs/Ullman88,0-7167-8069-0
books/cs/Ullman88,0-7167-8158-1
books/cs/Papadimitriou86,0-88175-027-1
books/cs/Maier83,0-914894-42-0
books/oldenbusch/2013,978-3000413162
books/crc/KatzLindell2014,9781466570269
books/crc/cvn2016,978-1-4987-2191-2
books/crc/cvn2016,978-1-4987-2192-9
books/crc/L2015,978-1-4822-5626-0
books/crc/L2015,978-1-4822-5627-7
books/crc/Lemone1992,0-8493-7342-5
books/crc/bigdata2015,978-1-4822-4055-9
books/crc/bigdata2015,978-1-4822-4056-6
books/crc/Hitzler2010,9781420090505
books/crc/Compiler07,978-1-42-004382-2
books/crc/dong2013,978-1-43-985432-7
books/crc/MenezesOV96,0-8493-8523-7
books/crc/Talia2012,978-1-4398-7531-5
books/crc/Talia2012,978-1-4398-7533-9
books/crc/Czarnul2015,978-1-49-870646-9
books/crc/bhw2016,978-1-4398-1247-1
books/crc/asds2016,978-1-4987-0158-7
books/crc/asds2016,978-1-4987-0159-4
books/crc/zurawski2009-2,978-1-4398-0761-3
books/crc/zurawski2009-2,978-1-4398-0762-0
books/crc/sakr2014,978-1-4665-8150-0
books/crc/sakr2014,978-1-4665-8151-7
books/crc/cloud2014,978-1-4665-6917-1
books/crc/cloud2014,978-1-4665-6918-8
books/crc/healthcare2015,978-1-4822-3211-0
books/crc/healthcare2015,978-1-4822-3212-7
books/crc/rlc2016,9781498776332
books/crc/Compiler02,0-8493-1240-X
books/crc/aggarwal2013,978-1-46-655821-2
books/crc/tucker1997,0-8493-2909-4
books/crc/Torgo2010,9781439810187
books/crc/KatzLindell2007,978-1-58488-551-1
books/crc/chb2014-2,978-1-43-989854-3
books/crc/mugc2014,978-1-4665-5740-6
books/crc/mugc2014,978-1-4665-5741-3
books/crc/hbd2016,978-1-4822-4907-1
books/crc/hbd2016,978-1-4822-4908-8
books/crc/zurawski2009-1,978-1-4398-0755-2
books/crc/zurawski2009-1,978-1-4398-0763-7
books/crc/linked2014,978-1-4665-8240-8
books/crc/linked2014,978-1-4665-8241-5
books/crc/aggarwal2014,978-1-4665-8674-1
books/crc/AU1992,0716782332
books/crc/IIR05,0-8493-1985-4
books/infix/Hasse96,978-3-89601-413-9
books/infix/Markl99,3-89601-459-5
books/infix/Steinhage93,3-929037-45-9
books/infix/Klotz93,3-929037-39-4
books/infix/Schaad96,3-89601-412-9
books/infix/Gunter92,3-929037-03-3
books/infix/Gunthor97,3-89601-427-7
books/infix/Weik97,3-89601-437-4
books/infix/Walter96,3-89601-410-2
books/infix/Ingenerf93,3-929037-43-2
books/infix/Schwarz99,978-3-89601-465-8
books/infix/Althoff93,3-929037-23-8
books/infix/Wetzel96,3-89601-109-X
books/infix/Kottmann96,3-89601-420-X
books/infix/Kaiser97,3-89601-153-7
books/infix/Zhang92,3-929037-16-5
books/infix/Rys98,3-89601-444-7
books/infix/Klettke98,3-89601-451-X
books/infix/Schuhart2006,978-3-89838-497-1
books/infix/Strasser92,3-929037-08-4
books/infix/Hartel97,3-89601-422-6
books/infix/Rieche96,3-89601-408-0
books/infix/Wiltfang99,3-89601-457-9
books/infix/Frank97,3-89601-432-3
books/infix/Hemforth93,3-929037-40-8
books/infix/Dobrovnik97,3-89601-425-0
books/infix/Tank92,3-929037-05-X
books/infix/Meskes97,3-89601-421-8
books/infix/Messer92,3-929037-22-X
books/infix/Listl96,3-89601-407-2
books/infix/Wanner98,3-89601-446-3
books/infix/Bayer93,3-929037-44-0
books/infix/Assmann92,3-929037-21-1
books/infix/Heinsohn94,3-929037-55-6
books/infix/Reinert96,3-89601-411-0
books/infix/Zercher92,3-929037-17-3
books/infix/Simon93,3-929037-49-1
books/infix/Andre95,3-89601-108-1
books/infix/Hofmann98,3-89601-442-0
books/infix/Denker96,3-89601-406-4
books/infix/Kusch96,3-89601-409-9
books/infix/Ertel93,3-929037-25-4
books/infix/Krivokapic99,3-89601-454-4
books/infix/Maier93,3-929037-47-5
books/infix/Ludascher98,3-89601-445-5
books/infix/Mehl93,3-929037-52-1
books/infix/Ritter97,3-89601-433-1
books/infix/Grosse99,3-89601-464-1
books/infix/Kliger96,3-89601-403-X
books/infix/Syska92,3-929037-04-1
books/infix/Prechtel93,3-929037-28-9
books/infix/Spreng93,3-929037-34-3
books/infix/Preuner99,3-89601-453-6
books/infix/Myka99,3-89601-452-8
books/infix/Schmitt98,3-89601-443-9
books/infix/Schaefers2016,978-3-89838-509-1
books/infix/Homann97,3-89601-152-9
books/infix/Liu93,3-929037-36-X
books/infix/Dusterhoft97,3-89601-436-6
books/infix/Uhrmacher92,3-929037-20-3
books/infix/Otte94,3-929037-63-7
books/infix/Sauter98,3-89601-447-1
books/infix/Benzschawel96,3-89601-417-X
books/infix/Mast93,3-929037-50-5
books/infix/Kapsammer99,3-89601-462-5
books/infix/Kohne93,3-929037-38-6
books/infix/Jonscher98,3-89601-449-8
books/infix/Stein94,3-929037-62-9
books/infix/Neugebauer92,3-929037-18-1
books/infix/Fahrner97,3-89601-429-3
books/infix/Cao93,3-929037-33-5
books/infix/Nissen97,3-89601-438-2
books/infix/Bruning93,3-929037-35-1
books/infix/Gallersdorfer97,3-89601-424-2
books/infix/Winklhofer94,3-929037-58-0
books/infix/Berns94,3-929037-61-0
books/infix/Lehner93,3-929037-29-7
books/infix/Eusterbrock92,3-929037-10-6
books/infix/Kandzia98,3-89601-448-X
books/infix/Fischer93,3-929037-26-2
books/infix/vonWangenheim97,3-89601-147-2
books/infix/Wodtke97,3-89601-431-5
books/infix/Zachmann97,3-89601-426-9
books/infix/Kummert92,3-929037-12-2
books/infix/Werling93,3-929037-46-7
books/infix/Maurer93,3-929037-48-3
books/infix/Boss96,3-89601-404-8
books/infix/Neufeld94,3-929037-56-4
books/infix/Breitner98,3-89601-441-2
books/infix/Thomas96,3-89601-416-1
books/infix/Sommer93,3-929037-32-7
books/infix/Staudt97,3-89601-423-4
books/infix/Ley93,3-929037-41-6
