PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
reference/spatial/2007,Springer,
reference/dmkdh/2010,Springer,
reference/crypt/2011,Springer,
reference/crypt/2005,Springer,
reference/convergence/2016,Springer,
reference/sc/2015,Springer,
reference/fai/2,Elsevier,
reference/fai/3,Elsevier,
reference/crc/2006momi,Auerbach Publications/CRC,
reference/crc/2012vs,Chapman and Hall/CRC,
reference/crc/2014mmm,Chapman and Hall/CRC,
reference/crc/2004mc,CRC Press,
reference/crc/2009ua,CRC Press,
reference/crc/2007aam,Chapman and Hall/CRC,
reference/crc/2012fsbma,Chapman and Hall/CRC,
reference/crc/2004sch,Chapman and Hall/CRC,
reference/crc/2005bioi,Chapman and Hall/CRC,
reference/crc/2005es,CRC Press,
reference/crc/2013gd,Chapman and Hall/CRC,
reference/crc/2007dsm,Chapman and Hall/CRC,
reference/crc/1999drm,CRC Press,
reference/crc/2010fcs,Chapman and Hall/CRC,
reference/crc/2007rtes,Chapman and Hall/CRC,
reference/crc/2004dsa,Chapman and Hall/CRC,
reference/crc/2005awnmc,Chapman and Hall/CRC,
reference/crc/2005ehcc,Chapman and Hall/CRC,
reference/crc/2007pc,Chapman and Hall/CRC,
reference/crc/2004ic,Chapman and Hall/CRC,
reference/crc/2007ismh,Auerbach Publ./CRC Press,
reference/crc/2012green,Chapman and Hall/CRC,
reference/crc/2008apda,Auerbach Publications,
reference/crc/2014vr,CRC Press,
reference/vlsi/1999,CRC Press,
reference/auto/2009,Springer,
reference/ai/2009,IGI Global,
reference/cg/2004,Chapman and Hall/CRC,
reference/vdt/2012,Springer,
reference/nc/2012,Springer,
reference/knowledge/2011,IGI Global,
reference/opt/2009,Springer,
reference/rsh/2011,Springer,
reference/dlhandbook/2009,IGI Global,
reference/tf/2008ewmc,Taylor & Francis,
reference/tf/2011eia,Taylor & Francis,
reference/forensics/2010,IGI Global,
reference/mosi/2014,CRC Press,
reference/cn/2014,Springer,
reference/algo/2008,Springer,
reference/algo/2008t,Springer,
reference/algo/2016,Springer,
reference/portal/2007,IGI Global,
reference/icsec/2010,Springer,
reference/gis/2008,Springer,
reference/gis/2017,Springer,
reference/gis/2014,Springer,
reference/nlp/2010,Chapman and Hall/CRC,
reference/choice/2016,Cambridge University Press,
reference/sps/2013,Springer,
reference/dataware/2009,IGI Global,
reference/sp/2015dc,Springer,
reference/sp/2015rsh,Springer,
reference/sp/2015mmi,Springer,
reference/sp/2015ci,Springer,
reference/sp/2011semweb,Springer,
reference/sp/2013hc,Springer,
reference/vision/2014,Springer,
reference/parallel/2011,Springer,
reference/wiley/2008,John Wiley & Sons Inc.,
reference/ethics/2007,IGI Global,
reference/dbsec/2008,Springer,
reference/se/2010,Taylor & Francis,
reference/assisted/2012,IOS Press,
reference/mm/2008,Springer,
reference/mm/2006,Springer,
reference/bio/2009,Springer US,
reference/bio/2015,Springer US,
reference/snam/2014,Springer,
reference/docip/2014,Springer,
reference/mediated/2008,IGI Global,
reference/stat/2011,,
reference/social/2010,Springer,
reference/ubiqhandbook/2008,IGI Global,
reference/robo/2008,Springer,
reference/robo/2016,Springer,
reference/ml/2017,Springer,
reference/ml/2010,Springer,
reference/npe/2011,Springer,
reference/db/2009,Springer US,
reference/complexity/2009,Springer,
books/lap/Mokhov10,LAP Lambert Academic Publishing  Germany,
books/siam/Wegener00,SIAM,
books/iee/Ghanbari2003,IEE Press,
books/acm/Kim95,ACM Press and Addison-Wesley,
books/acm/0082477,ACM,
