AUTHOR_KEY,AUTHOR_NAME,AUTHOR_AUX,AUTHOR_BIBTEX,AUTHOR_ORCID
journals/lncs/CabibboM93,Luca Cabibbo,,,
journals/lncs/CabibboM93,Giansalvatore Mecca,,,
journals/lncs/AtzeniCCT93,Paolo Atzeni,,,
journals/lncs/AtzeniCCT93,Filippo Cacace,,,
journals/lncs/AtzeniCCT93,Stefano Ceri,,,
journals/lncs/AtzeniCCT93,Letizia Tanca,,,
journals/lncs/LeoneRRS93,Nicola Leone,,,
journals/lncs/LeoneRRS93,Massimo Romeo,,,
journals/lncs/LeoneRRS93,Pasquale Rullo,,,
journals/lncs/LeoneRRS93,Domenico Saccà,,,
journals/lncs/AtzeniCMT93,Paolo Atzeni,,,
journals/lncs/AtzeniCMT93,Luca Cabibbo,,,
journals/lncs/AtzeniCMT93,Giansalvatore Mecca,,,
journals/lncs/AtzeniCMT93,Letizia Tanca,,,
journals/lncs/CeriT93,Stefano Ceri,,,
journals/lncs/CeriT93,Letizia Tanca,,,
journals/lncs/ArtaleBCCCFLGMM93,Alessandro Artale,,,
journals/lncs/ArtaleBCCCFLGMM93,Jean Paul Ballerini,,,
journals/lncs/ArtaleBCCCFLGMM93,Filippo Cacace,,,
journals/lncs/ArtaleBCCCFLGMM93,Stefano Ceri,,,
journals/lncs/ArtaleBCCCFLGMM93,Francesca Cesarini,,,
journals/lncs/ArtaleBCCCFLGMM93,Anna Formica,,,
journals/lncs/ArtaleBCCCFLGMM93,Herman Lam,,,
journals/lncs/ArtaleBCCCFLGMM93,Sergio Greco,,,
journals/lncs/ArtaleBCCCFLGMM93,G. Marrella,,,
journals/lncs/ArtaleBCCCFLGMM93,Michele Missikoff,,,
journals/lncs/ArtaleBCCCFLGMM93,Luigi Palopoli,,,
journals/lncs/ArtaleBCCCFLGMM93,L. Pichetti,,,
journals/lncs/ArtaleBCCCFLGMM93,Domenico Saccà,,,
journals/lncs/ArtaleBCCCFLGMM93,Silvio Salza,,,
journals/lncs/ArtaleBCCCFLGMM93,Claudio Sartori 0001,,,
journals/lncs/ArtaleBCCCFLGMM93,Giovanni Soda,,,
journals/lncs/ArtaleBCCCFLGMM93,Letizia Tanca,,,
journals/lncs/ArtaleBCCCFLGMM93,M. Toiati,,,
journals/lncs/BeneventanoBS93,Domenico Beneventano,,,
journals/lncs/BeneventanoBS93,Sonia Bergamaschi,,,
journals/lncs/BeneventanoBS93,Claudio Sartori 0001,,,
journals/lncs/NanniST93,Umberto Nanni,,,0000-0002-2196-6037
journals/lncs/NanniST93,Silvio Salza,,,0000-0002-4728-021X
journals/lncs/NanniST93,Mario Terranova,,,
journals/lncs/BeneventanoBSACS93,Domenico Beneventano,,,
journals/lncs/BeneventanoBSACS93,Sonia Bergamaschi,,,
journals/lncs/BeneventanoBSACS93,Claudio Sartori 0001,,,
journals/lncs/BeneventanoBSACS93,Alessandro Artale,,,
journals/lncs/BeneventanoBSACS93,Francesca Cesarini,,,
journals/lncs/BeneventanoBSACS93,Giovanni Soda,,,
journals/lncs/NanniST93a,Umberto Nanni,,,0000-0002-2196-6037
journals/lncs/NanniST93a,Silvio Salza,,,0000-0002-4728-021X
journals/lncs/NanniST93a,Mario Terranova,,,
journals/lncs/FabrizioCV93,Annalina Fabrizio,,,
journals/lncs/FabrizioCV93,Maurizio Capaccioli,,,
journals/lncs/FabrizioCV93,Sandra Valeri,,,
journals/lncs/ArtaleCS93,Alessandro Artale,,,
journals/lncs/ArtaleCS93,Francesca Cesarini,,,
journals/lncs/ArtaleCS93,Giovanni Soda,,,
journals/lncs/Atzeni93,Paolo Atzeni,,,
journals/lncs/PalopoliT93,Luigi Palopoli,,,
journals/lncs/PalopoliT93,Riccardo Torlone,,,
journals/lncs/GrecoRS93,Sergio Greco,,,
journals/lncs/GrecoRS93,Massimo Romeo,,,
journals/lncs/GrecoRS93,Domenico Saccà,,,
journals/lncs/FormicaM93,Anna Formica,,,
journals/lncs/FormicaM93,Michele Missikoff,,,
journals/lncs/LugliNC93,Marco Lugli,,,
journals/lncs/LugliNC93,Luca Nini,,,
journals/lncs/LugliNC93,Stefano Ceri,,,
reference/spatial/BalbianiGKV07,Philippe Balbiani,,,
reference/spatial/BalbianiGKV07,Valentin Goranko,,,
reference/spatial/BalbianiGKV07,Ruaan Kellerman,,,
reference/spatial/BalbianiGKV07,Dimiter Vakarelov,,,
reference/spatial/RenzN07,Jochen Renz,,,
reference/spatial/RenzN07,Bernhard Nebel,,,
reference/spatial/BennettD07,Brandon Bennett,,,
reference/spatial/BennettD07,Ivo Düntsch,,,0000-0001-8907-2382
reference/spatial/Pratt-Hartmann07,Ian Pratt-Hartmann,,,
reference/spatial/BlochHR07,Isabelle Bloch,,,
reference/spatial/BlochHR07,Henk J. A. M. Heijmans,,,
reference/spatial/BlochHR07,Christian Ronse,,,
reference/spatial/KontchakovKWZ07,Roman Kontchakov,,,
reference/spatial/KontchakovKWZ07,Agi Kurucz,,,
reference/spatial/KontchakovKWZ07,Frank Wolter,,,
reference/spatial/KontchakovKWZ07,Michael Zakharyaschev,,,
reference/spatial/Vickers07,Steven Vickers,,,
reference/spatial/GeertsK07,Floris Geerts,,,
reference/spatial/GeertsK07,Bart Kuijpers,,,
reference/spatial/KremerM07,Philip Kremer,,,
reference/spatial/KremerM07,Grigori Mints,,,
reference/spatial/BenthemB07,Johan van Benthem,,,
reference/spatial/BenthemB07,Guram Bezhanishvili,,,
reference/spatial/AndrekaMN07,Hajnal Andréka,,,
reference/spatial/AndrekaMN07,Judit X. Madarász,,,
reference/spatial/AndrekaMN07,István Németi,,,
reference/spatial/ParikhMS07,Rohit Parikh,,,
reference/spatial/ParikhMS07,Lawrence S. Moss,,,
reference/spatial/ParikhMS07,Chris Steinsvold,,,
reference/spatial/AielloPB07,Marco Aiello 0001,,,
reference/spatial/AielloPB07,Ian Pratt-Hartmann,,,
reference/spatial/AielloPB07,Johan van Benthem,,,
reference/spatial/SmythW07,Michael B. Smyth,,,
reference/spatial/SmythW07,Julian Webster,,,
reference/spatial/Varzi07,Achille C. Varzi,,,
reference/dmkdh/Hajek10,Petr Hájek 0001,,,
reference/dmkdh/Burges10,Christopher J. C. Burges,,,
reference/dmkdh/Freitas10,Alex Alves Freitas,,,0000-0001-9825-4700
reference/dmkdh/SebastianiAR10,Paola Sebastiani,,,
reference/dmkdh/SebastianiAR10,María M. Abad-Grau,,,
reference/dmkdh/SebastianiAR10,Marco Ramoni,,,
reference/dmkdh/LevinZ10,Nissan Levin,,,
reference/dmkdh/LevinZ10,Jacob Zahavi,,,
reference/dmkdh/BenjaminiL10,Yoav Benjamini,,,
reference/dmkdh/BenjaminiL10,Moshe Leshno,,,
reference/dmkdh/YangWW10,Ying Yang,,,
reference/dmkdh/YangWW10,Geoffrey I. Webb,,,0000-0001-9963-5169
reference/dmkdh/YangWW10,Xindong Wu,,,
reference/dmkdh/RatanamahatanaLGKVD10,Chotirat Ann Ratanamahatana,,,
