CDROM_KEY,CDROM_NAME
conf/icde/PedersenJ99,DiSC2_1/out/papers/icde/00710336.pdf
conf/icde/SchlageterUWZMNM88,ICDE88/P118.pdf
conf/icde/WolfDYT91,ICDE91/P200.pdf
conf/icde/GhandeharizadehD90,ICDE90/P466.pdf
conf/icde/SegallW88,ICDE88/P051.pdf
conf/icde/MehtaSD93,ICDE93/P400.pdf
conf/icde/UrbanKN92,ICDE92/P565.pdf
conf/icde/OhmoriKT90,ICDE90/P476.pdf
conf/icde/HuangL87,ICDE87/P455.pdf
conf/icde/Studer86,ICDE86/P364.pdf
conf/icde/PapakonstantinouGW95,ICDE95/P251.pdf
conf/icde/Zimmerman84,ICDE84/P030.pdf
conf/icde/HuhtalaKPT98,ICDE98/P392.pdf
conf/icde/AlonsoBC91,ICDE91/P305.pdf
conf/icde/AtchanBT89,ICDE89/P394.pdf
conf/icde/Willshire91,ICDE91/P014.pdf
conf/icde/MurphyR89,ICDE89/P140.pdf
conf/icde/Sugihara87,ICDE87/P267.pdf
conf/icde/AvizienisCA84,ICDE84/P050.pdf
conf/icde/Kameny89,ICDE89/P672.pdf
conf/icde/PathakJF89,ICDE89/P027.pdf
conf/icde/AgrawalK93,ICDE93/P429.pdf
conf/icde/CastanoA97,ICDE97/P043.pdf
conf/icde/LiaoL89,ICDE89/P216.pdf
conf/icde/OoiSM89,ICDE89/P590.pdf
conf/icde/KangR87,ICDE87/P644.pdf
conf/icde/ChenM95,ICDE95/P391.pdf
conf/icde/TanakaYI88,ICDE88/P023.pdf
conf/icde/YehMRR84,ICDE84/P277.pdf
conf/icde/Heider97,ICDE97/P584.pdf
conf/icde/MoenkebergW91,ICDE91/P632.pdf
conf/icde/LiuS95,ICDE95/P373.pdf
conf/icde/HimatsingkaS94,ICDE94/P356.pdf
conf/icde/AggarwalY98,ICDE98/P402.pdf
conf/icde/EsmayrKPPT96,ICDE96/P040.pdf
conf/icde/ElmasriN84,ICDE84/P426.pdf
conf/icde/AslandoganTYLN95,ICDE95/P280.pdf
conf/icde/Gaudiot89,ICDE89/P482.pdf
conf/icde/ChenM89,ICDE89/P242.pdf
conf/icde/AhujaB88,ICDE88/P426.pdf
conf/icde/ChenKMS97,ICDE97/P580.pdf
conf/icde/DanDY90,ICDE90/P538.pdf
conf/icde/BerckenSW99,DiSC2_1/out/papers/icde/00710257.pdf
conf/icde/WuYP92,ICDE92/P506.pdf
conf/icde/LeuteneggerL98,ICDE98/P164.pdf
conf/icde/LabioQA97,ICDE97/P277.pdf
conf/icde/LiW87,ICDE87/P018.pdf
conf/icde/ShimSA97,ICDE97/P301.pdf
conf/icde/Jiang92,ICDE92/P012.pdf
conf/icde/MuthRWBH93,ICDE93/P233.pdf
conf/icde/MooreP96,ICDE96/P500.pdf
conf/icde/HsuSL92,ICDE92/P106.pdf
conf/icde/Lamersdorf84,ICDE84/P143.pdf
conf/icde/WuB98,ICDE98/P220.pdf
conf/icde/Gryz98,ICDE98/P126.pdf
conf/icde/KoudasS98,ICDE98/P466.pdf
conf/icde/Garcia-MolinaK87,ICDE87/P430.pdf
conf/icde/Liu99,DiSC2_1/out/papers/icde/00710154.pdf
conf/icde/WolskiB98,ICDE98/P108.pdf
conf/icde/GrefenB94,ICDE94/P080.pdf
conf/icde/RastogiS98,ICDE98/P503.pdf
conf/icde/BellewHT90,ICDE90/P521.pdf
conf/icde/Cardenas87,ICDE87/P287.pdf
conf/icde/BaruahB97,ICDE97/P543.pdf
conf/icde/Vasudevan94,ICDE94/P294.pdf
conf/icde/Jagadish90,ICDE90/P311.pdf
conf/icde/Ng90,ICDE90/P529.pdf
conf/icde/Hsieh89,ICDE89/P422.pdf
conf/icde/PajarolaOSSW98,ICDE98/P550.pdf
conf/icde/SeshadriLR95,ICDE95/P232.pdf
conf/icde/Tsichritzis93,ICDE93/P002.pdf
conf/icde/WangY91,ICDE91/P746.pdf
conf/icde/GuoSL91,ICDE91/P023.pdf
conf/icde/ZhangPS99,DiSC2_1/out/papers/icde/00710098.pdf
conf/icde/TopaloglouIS92,ICDE92/P310.pdf
conf/icde/OhsawaS90,ICDE90/P296.pdf
conf/icde/LiuCK96,ICDE96/P477.pdf
conf/icde/Schek92,ICDE92/P448.pdf
conf/icde/FriedmanB86,ICDE86/P515.pdf
conf/icde/DuM88,ICDE88/P074.pdf
conf/icde/BergamaschiS97,ICDE97/P578.pdf
conf/icde/WangVI97,ICDE97/P169.pdf
conf/icde/KhoshafianCJBV87,ICDE87/P636.pdf
conf/icde/LauLW95,ICDE95/P449.pdf
conf/icde/LehmanG96,ICDE96/P192.pdf
conf/icde/ChanJT91,ICDE91/P582.pdf
conf/icde/Thomasian91,ICDE91/P426.pdf
conf/icde/DiederichM87,ICDE87/P235.pdf
conf/icde/Cornhill84,ICDE84/P364.pdf
conf/icde/YuHO84,ICDE84/P167.pdf
conf/icde/KimCB87,ICDE87/P626.pdf
conf/icde/CelmaGMD94,ICDE94/P214.pdf
conf/icde/VietYJB86,ICDE86/P685.pdf
conf/icde/DandamudiA91,ICDE91/P268.pdf
conf/icde/YuJ88,ICDE88/P386.pdf
conf/icde/BusseF99,DiSC2_1/out/papers/icde/00710260.pdf
conf/icde/Qian88,ICDE88/P338.pdf
conf/icde/Bestavros96,ICDE96/P180.pdf
conf/icde/MitschangPPLS93,ICDE93/P272.pdf
conf/icde/FarmerKM84,ICDE84/P386.pdf
conf/icde/WangL86,ICDE86/P021.pdf
conf/icde/Han91,ICDE91/P257.pdf
conf/icde/Yost88,ICDE88/P602.pdf
conf/icde/Hong84,ICDE84/P152.pdf
conf/icde/BliujuteSSJ99,DiSC2_1/out/papers/icde/00710314.pdf
conf/icde/MiyagawaITN84,ICDE84/P576.pdf
conf/icde/FurtadoB99,DiSC2_1/out/papers/icde/00710480.pdf
conf/icde/GuntherN91,ICDE91/P520.pdf
conf/icde/IJbemaB86,ICDE86/P030.pdf
conf/icde/GraefeM93,ICDE93/P209.pdf
conf/icde/Lenzerini87,ICDE87/P386.pdf
conf/icde/WangV89,ICDE89/P287.pdf
conf/icde/PatankarSS96,ICDE96/P142.pdf
conf/icde/KolovsonS89,ICDE89/P127.pdf
conf/icde/OertlyS89,ICDE89/P618.pdf
conf/icde/Motro86,ICDE86/P426.pdf
conf/icde/ElmasriST87,ICDE87/P468.pdf
conf/icde/SpoonerMF86,ICDE86/P416.pdf
conf/icde/CzejdoRE87,ICDE87/P477.pdf
conf/icde/LangOKT98,ICDE98/P599.pdf
conf/icde/AgrawalBGS91,ICDE91/P446.pdf
conf/icde/Jajodia87,ICDE87/P412.pdf
conf/icde/MatsumotoST84,ICDE84/P342.pdf
conf/icde/StonebrakerO93,ICDE93/P355.pdf
conf/icde/JagadishMR98,ICDE98/P424.pdf
conf/icde/BelfordLHHKKKLMNNQRYZ86,ICDE86/P144.pdf
conf/icde/LandauST93,ICDE93/P319.pdf
conf/icde/IwaiharaFK91,ICDE91/P181.pdf
conf/icde/ElmasriW90,ICDE90/P076.pdf
conf/icde/ColletCFR97,ICDE97/P581.pdf
