CITE_KEY,CITE_NAME,CITE_LABEL,CITE_REF
conf/pos/1985,...,AB85,
conf/pos/1985,...,ABCCM81,
conf/pos/1985,journals/cj/AtkinsonBCCM83,ABCCM83,
conf/pos/1985,...,ABCCM84a,
conf/pos/1985,journals/spe/CockshottACBM84,ABCCM84b,
conf/pos/1985,...,ABM85,
conf/pos/1985,...,ABN85,
conf/pos/1985,...,ACC81,
conf/pos/1985,journals/spe/AtkinsonCC83,ACC83a,
conf/pos/1985,journals/spe/AtkinsonCCM83,ACC83b,
conf/pos/1985,journals/tods/AlbanoCO85,ACO85,
conf/pos/1985,...,AF82,
conf/pos/1985,...,AFL85,
conf/pos/1985,conf/db-workshops/AlbanoGO85,AGO85,
conf/pos/1985,...,AGOP85,
conf/pos/1985,books/aw/AhoHU74,AHU74,
conf/pos/1985,...,AI87,
conf/pos/1985,...,AITK84a,
conf/pos/1985,...,AITK84b,
conf/pos/1985,conf/db-workshops/Ait-KaciN85,AITK85,
conf/pos/1985,...,ALBA83,
conf/pos/1985,...,ALLC83,
conf/pos/1985,...,ALN86,
conf/pos/1985,...,ALN87,
conf/pos/1985,journals/tse/AndersonLS78,ALS78,
conf/pos/1985,conf/podc/AllchinM83,AM83,
conf/pos/1985,conf/fsttcs/AtkinsonM84,AM84,
conf/pos/1985,journals/toplas/AtkinsonM85,AM85a,
conf/pos/1985,conf/db-workshops/AtkinsonM85,AM285,
conf/pos/1985,conf/popl/Ait-KaciN86,AN86a,
conf/pos/1985,journals/jlp/Ait-KaciN86,AN86b,
conf/pos/1985,...,AN86c,
conf/pos/1985,...,AN87a,
conf/pos/1985,conf/parle/ArvindN87,AN87b,
conf/pos/1985,...,ANDE79,
conf/pos/1985,...,ANP87a,
conf/pos/1985,journals/toplas/ArvindNP89,ANP87b,
conf/pos/1985,conf/sigir/Ait-KaciNS88,ANS86,
conf/pos/1985,...,AOO82,
conf/pos/1985,...,AOO86,
conf/pos/1985,...,AS81,
conf/pos/1985,conf/vldb/Atkinson78,ATKI78,
conf/pos/1985,conf/sigmod/BunemanA86,BA86,
conf/pos/1985,journals/cacm/Baker78,BAKE78,
conf/pos/1985,conf/db-workshops/Bancilhon85,BANC85,
conf/pos/1985,...,BDMN73,
conf/pos/1985,journals/computer/BrachmanFL83,BFL83,
conf/pos/1985,journals/tods/BunemanFN82,BFN82,
conf/pos/1985,conf/vldb/BernsteinG80a,BG80,
conf/pos/1985,journals/tods/BernsteinG83,BG83,
conf/pos/1985,conf/berkeley/BernsteinGL81,BGL81,
conf/pos/1985,conf/lfp/BurstallMS80,BMS80,
conf/pos/1985,conf/db-workshops/Intervale,BMS84,
conf/pos/1985,conf/db-workshops/BorgidaMW82,BMW84,
conf/pos/1985,journals/tods/Borgida85,BORG85,
conf/pos/1985,...,BOUR78,
conf/pos/1985,journals/acta/BestR81,BR81,
