EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
journals/thipeac/2009-2,Per Stenström,,
journals/thipeac/2011-4,Per Stenström,,
journals/thipeac/2007-1,Per Stenström,,
journals/thipeac/2007-1,Michael F. P. O'Boyle,,
journals/thipeac/2007-1,François Bodin,,
journals/thipeac/2007-1,Marcelo Cintra,,
journals/thipeac/2007-1,Sally A. McKee,,
journals/thipeac/2011-3,Per Stenström,,
journals/topnoc/2009-2,Kurt Jensen,,
journals/topnoc/2009-2,Wil M. P. van der Aalst,,
journals/topnoc/2015-10,Maciej Koutny,,
journals/topnoc/2015-10,Jörg Desel,,
journals/topnoc/2015-10,Serge Haddad,,
journals/topnoc/2010-4,Kurt Jensen,,
journals/topnoc/2010-4,Susanna Donatelli,,
journals/topnoc/2010-4,Maciej Koutny,,
journals/topnoc/2016-11,Maciej Koutny,,
journals/topnoc/2016-11,Jörg Desel,,
journals/topnoc/2016-11,Jetty Kleijn,,
journals/topnoc/2009-3,Kurt Jensen,,
journals/topnoc/2009-3,Jonathan Billington,,
journals/topnoc/2009-3,Maciej Koutny,,
journals/topnoc/2014-9,Maciej Koutny,,
journals/topnoc/2014-9,Serge Haddad,,
journals/topnoc/2014-9,Alex Yakovlev,,0000-0003-0826-9330
journals/topnoc/2013-8,Maciej Koutny,,
journals/topnoc/2013-8,Wil M. P. van der Aalst,,
journals/topnoc/2013-8,Alex Yakovlev,,
journals/topnoc/2008-1,Kurt Jensen,,
journals/topnoc/2008-1,Wil M. P. van der Aalst,,0000-0002-0955-6940
journals/topnoc/2008-1,Jonathan Billington,,
journals/topnoc/2012-6,Kurt Jensen,,
journals/topnoc/2012-6,Wil M. P. van der Aalst,,
journals/topnoc/2012-6,Marco Ajmone Marsan,,
journals/topnoc/2012-6,Giuliana Franceschinis,,
journals/topnoc/2012-6,Jetty Kleijn,,
journals/topnoc/2012-6,Lars Michael Kristensen,,
journals/topnoc/2012-5,Kurt Jensen,,
journals/topnoc/2012-5,Susanna Donatelli,,
journals/topnoc/2012-5,Jetty Kleijn,,
journals/topnoc/2013-7,Kurt Jensen,,
journals/topnoc/2013-7,Wil M. P. van der Aalst,,
journals/topnoc/2013-7,Gianfranco Balbo,,
journals/topnoc/2013-7,Maciej Koutny,,
journals/topnoc/2013-7,Karsten Wolf,,
