ISBN_KEY,ISBN_NAME
journals/thipeac/2009-2,978-3-642-00903-7
journals/thipeac/2011-4,978-3-642-24567-1
journals/thipeac/2007-1,978-3-540-71527-6
journals/thipeac/2011-3,978-3-642-19447-4
journals/topnoc/2009-2,978-3-642-00898-6
journals/topnoc/2015-10,978-3-662-48649-8
journals/topnoc/2010-4,978-3-642-18221-1
journals/topnoc/2016-11,978-3-662-53400-7
journals/topnoc/2009-3,978-3-642-04854-8
journals/topnoc/2014-9,978-3-662-45729-0
journals/topnoc/2013-8,978-3-642-40464-1
journals/topnoc/2008-1,978-3-540-89286-1
journals/topnoc/2012-6,978-3-642-35178-5
journals/topnoc/2012-5,978-3-642-29071-8
journals/topnoc/2013-7,978-3-642-38142-3
journals/fomac/2016-1,978-3-319-46507-4
journals/tplop/2009-1,978-3-642-10831-0
journals/tplop/2013-3,978-3-642-38675-6
journals/tplop/2011-2,978-3-642-19431-3
journals/lncs/1994-910,3-540-59155-9
journals/lncs/1991-546,3-540-54594-8
journals/trs/2007-6,978-3-540-71198-8
journals/trs/2010-12,978-3-642-14466-0
journals/trs/2015-19,978-3-662-47814-1
journals/trs/2008-9,978-3-540-89875-7
journals/trs/2005-3,3-540-25998-8
journals/trs/2011-13,978-3-642-18301-0
journals/trs/2009-10,978-3-642-03280-6
journals/trs/2008-8,978-3-540-85063-2
journals/trs/2011-14,978-3-642-21562-9
journals/trs/2007-7,978-3-540-71662-4
journals/trs/2004-2,3-540-23990-1
journals/trs/2016-20,978-3-662-53610-0
journals/trs/2010-11,978-3-642-11478-6
journals/trs/2006-5,3-540-39382-X
journals/trs/2014-17,978-3-642-54755-3
journals/trs/2004-1,3-540-22374-6
journals/trs/2012-15,978-3-642-31902-0
journals/trs/2005-4,3-540-29830-4
journals/trs/2013-16,978-3-642-36504-1
journals/tcos/2014-24,978-3-662-45710-8
journals/tcos/2016-26,978-3-662-49246-8
journals/tcos/2013-21,978-3-642-45317-5
journals/tcos/2009-4,978-3-642-01003-3
journals/tcos/2011-13,978-3-642-22618-2
journals/tcos/2010-7,978-3-642-11388-8
journals/tcos/2009-5,978-3-642-02096-4
journals/tcos/2011-14,978-3-642-25248-8
journals/tcos/2010-9,978-3-642-16006-6
journals/tcos/2016-27,978-3-662-50411-6
journals/tcos/2009-3,978-3-642-00211-3
journals/tcos/2011-12,978-3-642-22335-8
journals/tcos/2015-25,978-3-662-47073-2
journals/tcos/2013-20,978-3-642-41904-1
journals/tcos/2009-6,978-3-642-10648-4
journals/tcos/2012-16,978-3-642-32662-2
journals/tcos/2017-29,978-3-662-54562-1
journals/tcos/2008-2,978-3-540-87562-8
journals/tcos/2014-22,978-3-642-54211-4
journals/tcos/2008-1,978-3-540-79298-7
journals/tcos/2013-17,978-3-642-35839-5
journals/tcos/2010-11,978-3-642-17696-8
journals/tcos/2010-8,978-3-642-16235-0
journals/tcos/2010-10,978-3-642-17498-8
journals/tcos/2012-15,978-3-642-28524-0
journals/tcos/2013-18,978-3-642-38802-6
journals/tcos/2014-23,978-3-662-43789-6
journals/tcos/2016-28,978-3-662-53089-4
journals/tcos/2013-19,978-3-642-39758-5
journals/tcsb/2006-4,3-540-33245-6
journals/tcsb/2005-2,3-540-29401-5
journals/tcsb/2010-12,978-3-642-11711-4
journals/tcsb/2012-14,978-3-642-35523-3
journals/tcsb/2008-9,978-3-540-88764-5
journals/tcsb/2005-3,3-540-30883-0
journals/tcsb/2008-10,978-3-540-92272-8
journals/tcsb/2011-13,978-3-642-19747-5
journals/tcsb/2009-11,978-3-642-04185-3
journals/tcsb/2006-6,3-540-45779-8
journals/tcsb/2007-8,978-3-540-76638-4
journals/tcsb/2006-5,3-540-36048-4
journals/tcsb/2005-1,3-540-25422-6
journals/tcsb/2006-7,3-540-48837-5
journals/taosd/2006-2,3-540-48890-1
journals/taosd/2015-12,978-3-662-46733-6
journals/taosd/2010-7,978-3-642-16085-1
journals/taosd/2009-5,978-3-642-02058-2
journals/taosd/2006-1,3-540-32972-2
journals/taosd/2012-9,978-3-642-35550-9
journals/taosd/2009-6,978-3-642-03763-4
journals/taosd/2014-11,978-3-642-55098-0
journals/taosd/2007-4,978-3-540-77041-1
journals/taosd/2013-10,978-3-642-36963-6
journals/taosd/2011-8,978-3-642-22030-2
journals/taosd/2016-1,978-3-319-46968-3
journals/tlsdkcs/2014-15,978-3-662-45760-3
journals/tlsdkcs/2015-19,978-3-662-46561-5
journals/tlsdkcs/2016-26,978-3-662-49783-8
journals/tlsdkcs/2009-1,978-3-642-03721-4
journals/tlsdkcs/2015-20,978-3-662-46702-2
journals/tlsdkcs/2013-11,978-3-642-45268-0
journals/tlsdkcs/2014-16,978-3-662-45946-1
journals/tlsdkcs/2014-14,978-3-662-45713-9
journals/tlsdkcs/2010-2,978-3-642-16174-2
journals/tlsdkcs/2016-25,978-3-662-49533-9
journals/tlsdkcs/2015-17,978-3-662-46334-5
journals/tlsdkcs/2016-29,978-3-662-54036-7
journals/tlsdkcs/2015-22,978-3-662-48566-8
journals/tlsdkcs/2015-21,978-3-662-47803-5
journals/tlsdkcs/2013-9,978-3-642-40068-1
journals/tlsdkcs/2013-12,978-3-642-45314-4
journals/tlsdkcs/2015-18,978-3-662-46484-7
journals/tlsdkcs/2016-27,978-3-662-53415-1
journals/tlsdkcs/2012-7,978-3-642-35331-4
journals/tlsdkcs/2016-30,978-3-662-54053-4
journals/tlsdkcs/2016-23,978-3-662-49174-4
journals/tlsdkcs/2011-4,978-3-642-23739-3
journals/tlsdkcs/2016-24,978-3-662-49213-0
journals/tlsdkcs/2013-10,978-3-642-41220-2
journals/tlsdkcs/2013-8,978-3-642-37573-6
