NOTE_KEY,NOTE_NAME,NOTE_AUX,NOTE_LABEL,NOTE_TYPE
conf/sbs/2004,972-8865-17-1,,,isbn
conf/icdar/1995-2,0-8186-7128-9,,,isbn
conf/icdar/2015hip,relocated from Gammarth Tunisia,,,
conf/icdar/2015,relocated from Tunis Tunisia,,,
conf/eurovav/1993,Sponsored by: Commission of the European Communities Comisión Interministral de Ciencia y Tecnología; Organized by: Universitat de les Illes Balears Universidad Politécnica de Madrid Institut d'Investigació en Intelligencia Artificial,,,
conf/wsc/1999-2,0-7803-5780-9,,,isbn
conf/wis/2005,972-8865-21-X,,,isbn
conf/wimob/2005-2,0-7803-9181-0,,,isbn
conf/wimob/2005-3,0-7803-9181-0,,,isbn
conf/wimob/2005-4,0-7803-9181-0,,,isbn
conf/birthday/2010meyer,Festschrift for Bertrand Meyer on the Occasion of His 60th Birthday November 2010,,,
conf/csedu/2009-2,978-989-8111-82-1,,,isbn
conf/csedu/2016-2,978-989-758-179-3,,,isbn
conf/mwe/2013,978-1-937284-47-3,,,isbn
conf/sc/2014hust,978-1-4799-7023-0,,,isbn
conf/sc/2014hptcdl,978-1-4799-7020-9,,,isbn
conf/ssst/2013,978-1-937284-47-3,,,isbn
conf/ispw/1985,ACM SIGSOFT Software Engineering Notes 11(4) August 1986,,,
conf/edoc/2014w,978-1-4799-5470-4,,,isbn
conf/ACMse/2005-2,1-59593-059-0,,,isbn
conf/hopl/1993,SIGPLAN Notices 28(3) March 1993,,,
conf/springsim/2011-2,1-930638-56-6,,,isbn
conf/bea/2012,978-1-937284-20-6,,,isbn
conf/bea/2013,978-1-937284-47-3,,,isbn
conf/icpp/1989-3,0-271-00686-2,,,isbn
conf/icpp/1988-2,0-271-00654-4,,,isbn
conf/icpp/1990-2,0-271-00728-1,,,isbn
conf/icpp/1996-3,0-8186-7623-X,,,isbn
conf/icpp/1996-2,0-8186-7623-X,,,isbn
conf/icpp/1989-2,0-271-00686-2,,,isbn
conf/icpp/1996-w,0-8186-7623-X,,,isbn
conf/icpp/1990-3,0-271-00728-1,,,isbn
conf/cloudcom/2013-2,978-0-7695-5095-4,,,isbn
conf/idl/1994,SIGPLAN Notices 29(8) August 1994,,,
conf/ic3k/2016keod,978-989-758-203-5,,,isbn
conf/ic3k/2016kmis,978-989-758-203-5,,,isbn
conf/ic3k/2015keod,978-989-758-158-8,,,isbn
conf/ic3k/2015kmis,978-989-758-158-8,,,isbn
conf/sigmod/85,SIGMOD Record 14(4) December 1985,,,
conf/sigmod/88,SIGMOD Record 17(3) September 1988,,,
conf/sigmod/99,SIGMOD Record 28(2) June 1999,,,
conf/sigmod/83,SIGMOD Record 13(4),,,
conf/sigmod/84,SIGMOD Record 14(2),,,
conf/sigmod/89,SIGMOD Record 18(2) June 1989,,,
conf/sigmod/90,SIGMOD Record 19(2) June 1990,,,
conf/sigmod/92,SIGMOD Record 21(2) June 1992,,,
conf/sigmod/91,SIGMOD Record 20(2) June 1991,,,
conf/sigmod/87,SIGMOD Record 16(3) December 1987,,,
conf/sigmod/86,SIGMOD Record 15(2) June 1986,,,
conf/popl/2003,ACM SIGPLAN Notices 38(1) January 2003,,,
conf/popl/2001,ACM SIGPLAN Notices 36(3) March 2001,,,
conf/popl/2002,ACM SIGPLAN Notices 37(1) January 2002,,,
conf/paciia/2008-2,978-0-7695-3490-9,,,isbn
conf/iceis/2008-3-2,978-989-8111-38-8,,,isbn
conf/imsccs/2006-2,0-7695-2581-4,,,isbn
conf/osdi/2002,Operating Systems Review 36 Special Issue Winter 2002,,,
conf/osdi/1996,Operating Systems Review 30 Special Issue October 1996,,,
conf/dh/2013-2,978-1-4799-3168-2,,,isbn
conf/wmt/2012,978-1-937284-20-6,,,isbn
conf/ijcnn/2000-2,0-7695-0619-4,,,isbn
conf/ijcnn/2000-5,0-7695-0619-4,,,isbn
conf/ijcnn/2000-4,0-7695-0619-4,,,isbn
conf/ijcnn/2000-6,0-7695-0619-4,,,isbn
conf/ijcnn/2000-3,0-7695-0619-4,,,isbn
conf/idaacs/2011-2,978-1-4577-1426-9,,,isbn
conf/vldb/78,IEEE Catalog Number 78CH1389-6C,,,
