PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
journals/thipeac/2009-2,Springer,
journals/thipeac/2011-4,Springer,
journals/thipeac/2007-1,Springer,
journals/thipeac/2011-3,Springer,
journals/topnoc/2009-2,Springer,
journals/topnoc/2015-10,Springer,
journals/topnoc/2010-4,Springer,
journals/topnoc/2016-11,Springer,
journals/topnoc/2009-3,Springer,
journals/topnoc/2014-9,Springer,
journals/topnoc/2013-8,Springer,
journals/topnoc/2008-1,Springer,
journals/topnoc/2012-6,Springer,
journals/topnoc/2012-5,Springer,
journals/topnoc/2013-7,Springer,
journals/fomac/2016-1,Springer,
journals/tplop/2009-1,Springer,
journals/tplop/2013-3,Springer,
journals/tplop/2011-2,Springer,
journals/lncs/1994-910,Springer,
journals/lncs/1991-546,Springer,
journals/trs/2007-6,Springer,
journals/trs/2010-12,Springer,
journals/trs/2015-19,Springer,
journals/trs/2008-9,Springer,
journals/trs/2005-3,Springer,
journals/trs/2011-13,Springer,
journals/trs/2009-10,Springer,
journals/trs/2008-8,Springer,
journals/trs/2011-14,Springer,
journals/trs/2007-7,Springer,
journals/trs/2004-2,Springer,
journals/trs/2016-20,Springer,
journals/trs/2010-11,Springer,
journals/trs/2006-5,Springer,
journals/trs/2014-17,Springer,
journals/trs/2004-1,Springer,
journals/trs/2012-15,Springer,
journals/trs/2005-4,Springer,
journals/trs/2013-16,Springer,
journals/tcos/2014-24,Springer,
journals/tcos/2016-26,Springer,
journals/tcos/2013-21,Springer,
journals/tcos/2009-4,Springer,
journals/tcos/2011-13,Springer,
journals/tcos/2010-7,Springer,
journals/tcos/2009-5,Springer,
journals/tcos/2011-14,Springer,
journals/tcos/2010-9,Springer,
journals/tcos/2016-27,Springer,
journals/tcos/2009-3,Springer,
journals/tcos/2011-12,Springer,
journals/tcos/2015-25,Springer,
journals/tcos/2013-20,Springer,
journals/tcos/2009-6,Springer,
journals/tcos/2012-16,Springer,
journals/tcos/2017-29,Springer,
journals/tcos/2008-2,Springer,
journals/tcos/2014-22,Springer,
journals/tcos/2008-1,Springer,
journals/tcos/2013-17,Springer,
journals/tcos/2010-11,Springer,
journals/tcos/2010-8,Springer,
journals/tcos/2010-10,Springer,
journals/tcos/2012-15,Springer,
journals/tcos/2013-18,Springer,
journals/tcos/2014-23,Springer,
journals/tcos/2016-28,Springer,
journals/tcos/2013-19,Springer,
journals/tcsb/2006-4,Springer,
journals/tcsb/2005-2,Springer,
journals/tcsb/2010-12,Springer,
journals/tcsb/2012-14,Springer,
journals/tcsb/2008-9,Springer,
journals/tcsb/2005-3,Springer,
journals/tcsb/2008-10,Springer,
journals/tcsb/2011-13,Springer,
journals/tcsb/2009-11,Springer,
journals/tcsb/2006-6,Springer,
journals/tcsb/2007-8,Springer,
journals/tcsb/2006-5,Springer,
journals/tcsb/2005-1,Springer,
journals/tcsb/2006-7,Springer,
journals/taosd/2006-2,Springer,
journals/taosd/2015-12,Springer,
journals/taosd/2010-7,Springer,
journals/taosd/2009-5,Springer,
journals/taosd/2006-1,Springer,
journals/taosd/2012-9,Springer,
journals/taosd/2009-6,Springer,
journals/taosd/2014-11,Springer,
journals/taosd/2007-4,Springer,
journals/taosd/2013-10,Springer,
journals/taosd/2011-8,Springer,
journals/tlsdkcs/2014-15,Springer,
journals/tlsdkcs/2015-19,Springer,
journals/tlsdkcs/2016-26,Springer,
journals/tlsdkcs/2009-1,Springer,
journals/tlsdkcs/2015-20,Springer,
journals/tlsdkcs/2013-11,Springer,
journals/tlsdkcs/2014-16,Springer,
journals/tlsdkcs/2014-14,Springer,
journals/tlsdkcs/2010-2,Springer,
journals/tlsdkcs/2016-25,Springer,
journals/tlsdkcs/2015-17,Springer,
journals/tlsdkcs/2016-29,Springer,
journals/tlsdkcs/2015-22,Springer,
journals/tlsdkcs/2015-21,Springer,
journals/tlsdkcs/2013-9,Springer,
journals/tlsdkcs/2013-12,Springer,
journals/tlsdkcs/2015-18,Springer,
journals/tlsdkcs/2016-27,Springer,
journals/tlsdkcs/2012-7,Springer,
journals/tlsdkcs/2016-30,Springer,
journals/tlsdkcs/2016-23,Springer,
journals/tlsdkcs/2011-4,Springer,
journals/tlsdkcs/2016-24,Springer,
journals/tlsdkcs/2013-10,Springer,
journals/tlsdkcs/2013-8,Springer,
journals/tlsdkcs/2012-6,Springer,
journals/tlsdkcs/2017-31,Springer,
journals/tlsdkcs/2012-5,Springer,
journals/tlsdkcs/2011-3,Springer,
journals/tlsdkcs/2014-13,Springer,
journals/tlsdkcs/2016-28,Springer,
journals/tcci/2014-15,Springer,
journals/tcci/2011-5,Springer,
journals/tcci/2015-19,Springer,
journals/tcci/2016-22,Springer,
journals/tcci/2015-20,Springer,
journals/tcci/2013-11,Springer,
journals/tcci/2014-16,Springer,
journals/tcci/2014-14,Springer,
journals/tcci/2017-26,Springer,
journals/tcci/2010-2,Springer,
journals/tcci/2016-25,Springer,
journals/tcci/2013-9,Springer,
journals/tcci/2013-12,Springer,
journals/tcci/2015-18,Springer,
journals/tcci/2012-7,Springer,
journals/tcci/2016-23,Springer,
journals/tcci/2011-4,Springer,
journals/tcci/2016-24,Springer,
journals/tcci/2013-10,Springer,
journals/tcci/2012-8,Springer,
journals/tcci/2012-6,Springer,
journals/tcci/2014-17,Springer,
journals/tcci/2011-3,Springer,
journals/tcci/2016-21,Springer,
journals/tcci/2014-13,Springer,
journals/jmlr/2006gpp,JMLR.org,
journals/tdhms/2015-10,Springer,
journals/tdhms/2011-6,Springer,
journals/tdhms/2009-4,Springer,
journals/tdhms/2006-1,Springer,
journals/tdhms/2007-2,Springer,
journals/tdhms/2012-7,Springer,
journals/tdhms/2014-9,Springer,
journals/tdhms/2012-8,Springer,
journals/tdhms/2008-3,Springer,
journals/tdhms/2010-5,Springer,
journals/tedu/2011-5,Springer,
journals/tedu/2009-2,Springer,
journals/tedu/2011-6,Springer,
journals/tedu/2015-11,Springer,
journals/tedu/2010-4,Springer,
journals/tedu/2013-9,Springer,
journals/tedu/2009-3,Springer,
journals/tedu/2012-7,Springer,
journals/tedu/2013-10,Springer,
journals/tedu/2012-8,Springer,
journals/tedu/2008-1,Springer,
journals/tedu/2017-13,Springer,
journals/tedu/2016-12,Springer,
journals/jods/2005-2,Springer,
journals/jods/2003,Springer,
journals/jods/2008-10,Springer,
journals/jods/2009-14,Springer,
journals/jods/2009-13,Springer,
journals/jods/2006-6,Springer,
journals/jods/2009-12,Springer,
journals/jods/2006-5,Springer,
journals/jods/2007-9,Springer,
journals/jods/2011-15,Springer,
journals/jods/2008-11,Springer,
journals/jods/2006-7,Springer,
journals/jods/2005-4,Springer,
reference/med/2013,Springer,
reference/genetic/2015,Springer,
books/sp/NPG2015,Springer,
books/sp/THAZL2015,Springer,
books/sp/BG2014,Springer,
books/sp/BBH2015,Springer,
books/sp/BGPP2015,Springer,
conf/icccn/1999,IEEE,
conf/icccn/2009,IEEE Computer Society,
conf/icccn/1998,IEEE Computer Society,
conf/icccn/2003,IEEE,
conf/icccn/2001,IEEE,
conf/icccn/2012,IEEE,
conf/icccn/2011,IEEE,
conf/icccn/2008,IEEE,
conf/icccn/2005,IEEE,
conf/icccn/2002,IEEE,
conf/icccn/2016,IEEE,
conf/icccn/2006,IEEE,
conf/icccn/2007,IEEE,
conf/icccn/2000,IEEE,
conf/icccn/1995,IEEE Computer Society,
conf/icccn/2013,IEEE,
conf/icccn/2014,IEEE,
conf/icccn/2015,IEEE,
conf/icccn/2010,IEEE,
conf/icccn/1997,IEEE Computer Society,
conf/icccn/2004,IEEE,
conf/socase/2009,Springer,
conf/socase/2008,Springer,
conf/socase/2007,Springer,
conf/forte/1988,North-Holland,
conf/forte/1999,Kluwer,
conf/forte/2009,Springer,
conf/forte/1998,Kluwer,
conf/forte/2003,Springer,
conf/forte/2001,Kluwer,
conf/forte/1993,North-Holland,
conf/forte/1989,North-Holland,
conf/forte/1991,North-Holland,
conf/forte/2012,Springer,
conf/forte/2011,Springer,
conf/forte/2005,Springer,
conf/forte/1990,North-Holland,
conf/forte/2002,Springer,
conf/forte/1994,Chapman & Hall,
conf/forte/2016,Springer,
conf/forte/2006,Springer,
conf/forte/2007,Springer,
conf/forte/2000,Kluwer,
conf/forte/2004w,Springer,
conf/forte/1995,Chapman & Hall,
conf/forte/2017,Springer,
conf/forte/2014,Springer,
conf/forte/2015,Springer,
conf/forte/2010,Springer,
conf/forte/1992,North-Holland,
conf/forte/1996,Chapman & Hall,
conf/forte/1997,Chapman & Hall,
conf/forte/2004,Springer,
conf/adcons/2011,Springer,
conf/adcons/2013,IEEE,
conf/iccip/2016,ACM,
conf/cloudnet/2012,IEEE,
conf/cloudnet/2016,IEEE,
conf/cloudnet/2013,IEEE,
conf/cloudnet/2014,IEEE,
conf/cloudnet/2015,IEEE,
conf/icistm/2009,Springer,
conf/icistm/2012,Springer,
conf/icistm/2011,Springer,
conf/icistm/2010,Springer,
conf/mediaeval/2012,CEUR-WS.org,
conf/mediaeval/2011,CEUR-WS.org,
conf/mediaeval/2016,CEUR-WS.org,
conf/mediaeval/2013,CEUR-WS.org,
conf/mediaeval/2014,CEUR-WS.org,
conf/mediaeval/2015,CEUR-WS.org,
conf/dsom/1999,Springer,
conf/dsom/2009,Springer,
conf/dsom/2003,Springer,
conf/dsom/2001,INRIA Rocquencourt France,
conf/dsom/2008,Springer,
conf/dsom/2005,Springer,
conf/dsom/2002,Springer,
conf/dsom/2006,Springer,
conf/dsom/2007,Springer,
conf/dsom/2000,Springer,
conf/dsom/2004,Springer,
conf/cybersa/2016,IEEE,
conf/cybersa/2015,IEEE,
conf/icde/96,IEEE Computer Society,
conf/icde/2007w,IEEE Computer Society,
conf/icde/2015w,IEEE Computer Society,
conf/icde/2009,IEEE Computer Society,
conf/icde/93,IEEE Computer Society,
conf/icde/2016w,IEEE Computer Society,
conf/icde/2003,IEEE Computer Society,
conf/icde/2001,IEEE Computer Society,
conf/icde/98,IEEE Computer Society,
conf/icde/2012,IEEE Computer Society,
conf/icde/2014w,IEEE Computer Society,
conf/icde/2011,IEEE Computer Society,
conf/icde/2008,IEEE Computer Society,
conf/icde/2011w,IEEE Computer Society,
conf/icde/2005,IEEE Computer Society,
conf/icde/2002,IEEE Computer Society,
conf/icde/88,IEEE Computer Society,
conf/icde/99,IEEE Computer Society,
conf/icde/95,IEEE Computer Society,
conf/icde/2005w,IEEE Computer Society,
conf/icde/84,IEEE Computer Society,
conf/icde/89,IEEE Computer Society,
conf/icde/2016,IEEE Computer Society,
conf/icde/2006,IEEE Computer Society,
conf/icde/90,IEEE Computer Society,
conf/icde/2006w,IEEE Computer Society,
conf/icde/2008w,IEEE Computer Society,
conf/icde/94,IEEE Computer Society,
conf/icde/2007,IEEE Computer Society,
conf/icde/2000,IEEE Computer Society,
conf/icde/2010w,IEEE Computer Society,
conf/icde/2013w,IEEE Computer Society,
conf/icde/97,IEEE Computer Society,
conf/icde/92,IEEE Computer Society,
conf/icde/91,IEEE Computer Society,
conf/icde/2012w,IEEE Computer Society,
conf/icde/2013,IEEE Computer Society,
conf/icde/87,IEEE Computer Society,
conf/icde/86,IEEE Computer Society,
conf/icde/2017,IEEE Computer Society,
conf/icde/2014,IEEE Computer Society,
conf/icde/2015,IEEE Computer Society,
conf/icde/2010,IEEE Computer Society,
conf/icde/2004,IEEE Computer Society,
conf/gr/1986,Springer,
conf/IEEEcsa/2009,IEEE,
conf/rssrail/2016,Springer,
conf/qtna/2016,ACM,
conf/icghpc/2016,IEEE,
conf/smbm/2016,CEUR-WS.org,
conf/smbm/2010,CEUR-WS.org,
conf/iwcls/1999,Springer,
conf/recsys/2015empire,ACM,
conf/recsys/2016empire,CEUR-WS.org,
conf/recsys/2012decisions,CEUR-WS.org,
conf/recsys/2011divers,CEUR-WS.org,
conf/recsys/2015localrec,CEUR-WS.org,
conf/recsys/2009,ACM,
conf/recsys/2012,ACM,
conf/recsys/2014rsweb,CEUR-WS.org,
conf/recsys/2011,ACM,
conf/recsys/2015p,CEUR-WS.org,
conf/recsys/2008,ACM,
conf/recsys/2014cbrecsys,CEUR-WS.org,
conf/recsys/2016cbrecsys,CEUR-WS.org,
conf/recsys/2014p,CEUR-WS.org,
conf/recsys/2015intrs,CEUR-WS.org,
conf/recsys/2012rue,CEUR-WS.org,
conf/recsys/2015inra,CEUR-WS.org,
conf/recsys/2016,ACM,
conf/recsys/2016intrs,CEUR-WS.org,
conf/recsys/2013repsys,ACM,
conf/recsys/2007,ACM,
conf/recsys/2010prsat,CEUR-WS.org,
conf/recsys/2015challenge,ACM,
conf/recsys/2015cbrecsys,CEUR-WS.org,
conf/recsys/2013,ACM,
conf/recsys/2010recsystel,Elsevier,
conf/recsys/2014,ACM,
conf/recsys/2015,ACM,
conf/recsys/2016challenge,ACM,
conf/recsys/2010,ACM,
conf/recsys/2016rectour,CEUR-WS.org,
conf/recsys/2013decisions,CEUR-WS.org,
conf/recsys/2016p,CEUR-WS.org,
conf/lll/1999,Springer,
conf/sbs/2004,INSTICC Press,
conf/dasc/2009,IEEE Computer Society,
conf/dasc/2011,IEEE Computer Society,
conf/dasc/2016,IEEE Computer Society,
conf/dasc/2006,IEEE Computer Society,
conf/dasc/2007,IEEE Computer Society,
conf/dasc/2013,IEEE Computer Society,
conf/dasc/2014,IEEE Computer Society,
conf/dir/2013,CEUR-WS.org,
conf/cidu/2012,IEEE,
conf/cidu/2011,NASA Ames Research Center,
conf/cidu/2010,NASA Ames Research Center,
conf/icdar/2013afha,CEUR-WS.org,
conf/icdar/1995-2,IEEE Computer Society,
conf/icdar/2015hip,ACM,
conf/icdar/1999,IEEE Computer Society,
conf/icdar/1995-1,IEEE Computer Society,
conf/icdar/2009,IEEE Computer Society,
conf/icdar/2003,IEEE Computer Society,
conf/icdar/2001,IEEE Computer Society,
conf/icdar/1993,IEEE,
conf/icdar/2011,IEEE Computer Society,
conf/icdar/2013hip,ACM,
conf/icdar/2011hip,ACM,
conf/icdar/2005,IEEE Computer Society,
conf/icdar/2009mocr,ACM,
conf/icdar/2013mocr,ACM,
conf/icdar/2007,IEEE Computer Society,
conf/icdar/2013,IEEE Computer Society,
conf/icdar/2015,IEEE Computer Society,
conf/icdar/1997,IEEE Computer Society,
conf/infoscale/2009,Springer,
conf/infoscale/2008,ICST / ACM,
conf/infoscale/2006,ACM,
conf/infoscale/2007,ACM,
conf/infoscale/2014,Springer,
conf/ipsn/2009,ACM,
conf/ipsn/2003,Springer,
conf/ipsn/2013conet,CEUR-WS.org,
conf/ipsn/2012,ACM,
conf/ipsn/2011,IEEE,
conf/ipsn/2008,IEEE Computer Society,
conf/ipsn/2005,IEEE,
conf/ipsn/2016,IEEE,
conf/ipsn/2006,ACM,
conf/ipsn/2007,ACM,
conf/ipsn/2014ubicitec,CEUR-WS.org,
conf/ipsn/2013,ACM,
conf/ipsn/2017,ACM,
conf/ipsn/2014,IEEE/ACM,
conf/ipsn/2015,ACM,
conf/ipsn/2010,ACM,
conf/ipsn/2004,ACM,
conf/captech/1998,Springer,
conf/cgim/2003,IASTED/ACTA Press,
conf/cgim/2005,IASTED/ACTA Press,
conf/edo/2005,ACM,
conf/edo/2002,Springer,
conf/edo/2006,ACM,
conf/edo/2000,Springer,
conf/softcom/2012,IEEE,
conf/softcom/2016,IEEE,
conf/softcom/2014openiot,Springer,
conf/softcom/2013,IEEE,
conf/softcom/2014,IEEE,
conf/softcom/2015,IEEE,
conf/compeng/2012,IEEE,
conf/compeng/2014,IEEE,
conf/compeng/2010,IEEE Computer Society,
conf/hcw/1999,IEEE Computer Society,
conf/hcw/1998,IEEE Computer Society,
conf/hcw/2000,IEEE Computer Society,
conf/hcw/1997,IEEE Computer Society,
conf/maamaw/1999,Springer,
conf/maamaw/1993,Springer,
conf/maamaw/1994,Springer,
conf/maamaw/1992,Springer,
conf/maamaw/1996,Springer,
conf/maamaw/1997,Springer,
conf/iadis/2005celda,IADIS,
conf/iadis/2009ac,IADIS Press,
conf/iadis/2005ac,IADIS,
conf/iadis/2008dm,IADIS,
conf/iadis/2003icwi,IADIS,
conf/iadis/2002icwi,IADIS,
conf/iadis/2004icwi,IADIS,
conf/iadis/2008el,IADIS,
conf/iadis/2004celda,IADIS,
conf/atis/2017,Springer,
conf/wf-iot/2016,IEEE Computer Society,
