CITE_KEY,CITE_NAME,CITE_LABEL,CITE_REF
homepages/v/BertholdVocking,journals/dc/Attiya16,,
homepages/g/MCGolumbic,conf/birthday/2009golumbic,,
homepages/g/YuriGurevich,conf/birthday/2010gurevich,,
homepages/g/FGecseg,conf/birthday/2009gecseg,,
homepages/g/FGecseg,conf/birthday/X09,,
homepages/d/HDobbertin,journals/dcc/CharpinH08,,
homepages/d/RodneyGDowney,conf/birthday/2017downey,,
homepages/d/KRDittrich,journals/vldb/Lockemann08,,
homepages/d/KRDittrich,conf/icde/X08,,
homepages/d/WEDijkstra,journals/cacm/BoyerFGHMMR02,,
homepages/e/ShimonEven,journals/mst/Rosenberg04,,
homepages/c/CSCalude,conf/birthday/2012calude,,
homepages/66/3698,conf/birthday/Langmaack14,,
homepages/66/3868,conf/birthday/2013he,,
homepages/b/NadiaBusi,conf/ilc/Zandron07,,
homepages/b/NadiaBusi,journals/tcs/Zandron09,,
homepages/b/ThomasBeth,conf/mmics/2008,,
homepages/b/APBuchmann,conf/birthday/2010buchmann,,
homepages/b/JvBenthem,books/daglib/0037002,,
homepages/f/NissimFrancez,conf/birthday/2009francez,,
homepages/f/RBFrance,journals/sosym/ChechikGGJRS15,,
homepages/f/MichaelRFellows,conf/birthday/2012fellows,,
homepages/f/PFlajolet,journals/algorithmica/X12,,
homepages/n/HanneRiisNielson,conf/birthday/2016nielson,,
homepages/n/ManfredNagl,conf/birthday/2010nagl,,
homepages/n/FlemmingNielson,conf/birthday/2016nielson,,
homepages/a/SergeAbiteboul,journals/tsi/Schafer14,,
homepages/a/RudolfAhlswede,conf/birthday/2013ahlswede,,
homepages/40/1290,journals/cagd/Reif03,,
homepages/k/DexterKozen,conf/birthday/2012kozen,,
homepages/k/BJKramer,conf/birthday/2012kraemer,,
homepages/k/ReinhardKohler,conf/birthday/2016koehler,,
homepages/k/ParisCKanellakis,conf/birthday/2003pkc,,
homepages/k/ParisCKanellakis,journals/csur/AbiteboulKMSV96,,
homepages/k/ParisCKanellakis,conf/pods/AbiteboulKPV96,,
homepages/k/ParisCKanellakis,journals/jlp/Hentenryck96,,
homepages/k/ParisCKanellakis,journals/jal/Shvartsman96,,
homepages/k/ParisCKanellakis,journals/iandc/Vardi96,,
homepages/s/MarekJSergot,conf/birthday/2012sergot,,
homepages/s/PaulGSpirakis,conf/birthday/2015spirakis,,
homepages/s/RudiStuder,conf/birthday/2011studer,,
homepages/s/NorbertAStreitz,journals/uais/Russell12,,
homepages/s/GerardSalton,journals/jd/AgostiBCFFHIKKR96,,
homepages/s/AngelaCSodan,journals/pc/Hollingsworth11,,
homepages/s/StefanoLevialdi,journals/vlc/Costabile15,,
homepages/s/ArtoSalomaa,conf/birthday/1994salomaa,,
homepages/s/ArtoSalomaa,conf/birthday/1999salomaa,,
homepages/s/ArtoSalomaa,conf/birthday/2004salomaa,,
homepages/s/ArtoSalomaa,journals/tcs/Karhumaki99,,
homepages/s/KlausSamelson,conf/birthday/Langmaack14,,
homepages/j/KarenSparckJones,journals/jasis/RobertsonT08,,
homepages/j/KarenSparckJones,journals/ipm/RobertsonT07,,
homepages/u/EskoUkkonen,conf/birthday/2010ukkonen,,
homepages/69/1140,conf/birthday/2011bozapalidis,,
homepages/69/3614,journals/scheduling/BeinHK14,,
homepages/18/310,journals/cacm/X15l,,
homepages/43/7734,journals/ram/Luca16,,
homepages/47/5808,conf/birthday/2006krallmann,,
