EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
www/de/kts,Klaus Tschira,,
www/org/w3/TR/query-datamodel,Mary F. Fernandez,,
www/org/w3/TR/query-datamodel,Jonathan Robie,,
www/org/w3/TR/xquery,Donald D. Chamberlin,,
www/org/w3/TR/xquery,Daniela Florescu,,
www/org/w3/TR/xquery,Jonathan Robie,,
www/org/w3/TR/xquery,Jérôme Siméon,,
www/org/w3/TR/xquery,Mugur Stefanescu,,
www/org/w3/TR/query-algebra,Peter Fankhauser,,
www/org/w3/TR/query-algebra,Mary F. Fernández,,
www/org/w3/TR/query-algebra,Ashok Malhotra,,
www/org/w3/TR/query-algebra,Michael Rys,,
www/org/w3/TR/query-algebra,Jérôme Siméon,,
www/org/w3/TR/query-algebra,Philip Wadler,,
www/org/w3/TR/xmlquery-use-cases,Donald D. Chamberlin,,
www/org/w3/TR/xmlquery-use-cases,Peter Fankhauser,,
www/org/w3/TR/xmlquery-use-cases,Massimo Marchiori,,
www/org/w3/TR/xmlquery-use-cases,Jonathan Robie,,
www/org/w3/TR/xmlquery-req,Donald D. Chamberlin,,
www/org/w3/TR/xmlquery-req,Peter Fankhauser,,
www/org/w3/TR/xmlquery-req,Massimo Marchiori,,
www/org/w3/TR/xmlquery-req,Jonathan Robie,,
